subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond
29	1	1	97	150	101	0	1	17.5	1	150	main_noPush
29	1	0	107	97.5	101	0	0.25	17.5	0	150	main_noPush
29	1	0	81	97.5	101	0	1	17.5	0	97.5	main_noPush
29	1	0	88	93	101	0	1	17.5	0	97.5	main_noPush
29	1	0	77	93	101	0	1	17.5	0	93	main_noPush
29	1	0	108	93	101	0	1	17.5	0	93	main_noPush
29	1	0	102	100.5	101	0	1	17.5	0	93	main_noPush
29	1	0	113	100.5	101	0	0.25	17.5	0	100.5	main_noPush
29	1	0	6	97.5	10	1	1	17.5	0	100.5	main_noPush
29	1	0	70	10.5	10	0	1	17.5	0	97.5	main_noPush
29	1	0	6	13.5	10	0	1	17.5	1	10.5	main_noPush
29	1	0	6	13.5	10	0	1	17.5	0	13.5	main_noPush
29	1	0	23	13.5	10	0	1	17.5	0	13.5	main_noPush
29	1	0	23	13.5	10	0	1	17.5	1	13.5	main_noPush
29	1	0	5	13.5	10	0	1	17.5	0	13.5	main_noPush
29	1	0	293	13.5	271	1	0.25	17.5	0	13.5	main_noPush
29	1	0	290	13.5	271	0	1	17.5	0	13.5	main_noPush
29	1	0	238	13.5	271	0	0.25	17.5	1	13.5	main_noPush
29	1	0	283	175.5	271	0	1	17.5	0	13.5	main_noPush
29	1	0	216	285	225	1	0.25	17.5	0	175.5	main_noPush
29	1	0	264	223	225	0	0.25	17.5	0	285	main_noPush
29	1	0	234	262	225	0	1	17.5	0	223	main_noPush
29	1	0	211	262	225	0	0.25	17.5	0	262	main_noPush
29	1	0	208	211	225	0	1	17.5	0	262	main_noPush
29	1	0	199	211	225	0	0.25	17.5	0	211	main_noPush
29	1	0	211	211	225	0	0.25	17.5	0	211	main_noPush
29	1	0	228	211	238	1	0.25	17.5	0	211	main_noPush
29	1	0	235	211	238	0	1	17.5	0	211	main_noPush
29	1	0	223	211	238	0	1	17.5	0	211	main_noPush
29	1	0	244	211	259	1	0.25	17.5	0	211	main_noPush
29	1	0	251	215.5	259	0	1	17.5	0	211	main_noPush
29	1	0	243	235	259	0	0.25	17.5	0	215.5	main_noPush
29	1	0	265	235	259	0	0.25	17.5	0	235	main_noPush
29	1	0	249	260.5	259	0	0.25	17.5	0	235	main_noPush
29	1	0	263	260.5	259	0	1	17.5	0	260.5	main_noPush
29	1	0	124	260.5	117	1	0.25	17.5	0	260.5	main_noPush
29	1	0	113	260.5	117	0	0.25	17.5	0	260.5	main_noPush
29	1	0	124	260.5	117	0	0.25	17.5	0	260.5	main_noPush
29	1	0	130	137.5	117	0	1	17.5	0	260.5	main_noPush
29	1	0	115	137.5	117	0	1	17.5	0	137.5	main_noPush
29	1	0	114	137.5	117	0	1	17.5	0	137.5	main_noPush
29	1	0	215	133	228	1	0.25	17.5	0	137.5	main_noPush
29	1	0	245	151	228	0	1	17.5	0	133	main_noPush
29	1	0	255	215.5	228	0	1	17.5	0	151	main_noPush
29	1	0	238	215.5	228	0	0.25	17.5	0	215.5	main_noPush
29	1	0	229	220	228	0	0.25	17.5	0	215.5	main_noPush
29	1	0	249	220	228	0	0.25	17.5	0	220	main_noPush
29	1	0	247	224.5	228	0	1	17.5	0	220	main_noPush
29	1	0	245	236.5	228	0	1	17.5	0	224.5	main_noPush
29	1	0	232	236.5	228	0	1	17.5	0	236.5	main_noPush
