subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	z_t	cond	trial
52	3	1.0	72	183.00000000000006	72.0	1.0	0.0	15	150.0	stable_low	0
52	3	0.0	66	137.99999999999997	72.0	0.0	0.0	15	183.00000000000006	stable_low	1
52	3	0.0	63	113.99999999999991	72.0	0.0	0.0	15	137.99999999999997	stable_low	2
52	3	0.0	96	59.999999999999886	72.0	0.0	0.0	15	113.99999999999991	stable_low	3
52	3	0.0	72	59.999999999999886	72.0	0.0	0.0	15	59.999999999999886	stable_low	4
52	3	0.0	228	68.99999999999989	234.0	1.0	0.0	15	59.999999999999886	stable_low	5
52	3	0.0	225	231.00000000000023	234.0	0.0	0.01	15	68.99999999999989	stable_low	6
52	3	0.0	240	219.00000000000017	234.0	0.0	0.01	15	231.00000000000023	stable_low	7
52	3	0.0	240	246.00000000000023	234.0	0.0	0.02	15	219.00000000000017	stable_low	8
52	3	0.0	219	246.00000000000023	234.0	0.0	0.02	15	246.00000000000023	stable_low	9
52	3	0.0	222	216.00000000000017	234.0	0.0	0.03	15	246.00000000000023	stable_low	10
52	3	0.0	228	216.00000000000017	234.0	0.0	0.03	15	216.00000000000017	stable_low	11
52	3	0.0	213	234.00000000000023	234.0	0.0	0.03	15	216.00000000000017	stable_low	12
52	3	0.0	216	225.00000000000017	234.0	0.0	0.04	15	234.00000000000023	stable_low	13
52	3	0.0	246	219.00000000000017	234.0	0.0	0.04	15	225.00000000000017	stable_low	14
52	3	0.0	258	240.00000000000023	234.0	0.0	0.04	15	219.00000000000017	stable_low	15
52	3	0.0	249	258.0000000000002	234.0	0.0	0.05	15	240.00000000000023	stable_low	16
52	3	0.0	228	255.00000000000026	234.0	0.0	0.05	15	258.0000000000002	stable_low	17
52	3	0.0	243	234.00000000000023	234.0	0.0	0.05	15	255.00000000000026	stable_low	18
52	3	0.0	111	240.00000000000023	111.0	1.0	0.05	15	234.00000000000023	stable_low	19
52	3	0.0	123	107.99999999999989	111.0	0.0	0.05	15	240.00000000000023	stable_low	20
52	3	0.0	102	116.99999999999991	111.0	0.0	0.05	15	107.99999999999989	stable_low	21
52	3	0.0	108	113.99999999999991	111.0	0.0	0.06	15	116.99999999999991	stable_low	22
52	3	0.0	102	110.99999999999991	111.0	0.0	0.07	15	113.99999999999991	stable_low	23
52	3	0.0	108	101.99999999999989	111.0	0.0	0.08	15	110.99999999999991	stable_low	24
52	3	0.0	105	98.99999999999987	111.0	0.0	0.09	15	101.99999999999989	stable_low	25
52	3	0.0	249	95.99999999999989	219.0	1.0	0.09	15	98.99999999999987	stable_low	26
52	3	0.0	234	240.00000000000023	219.0	0.0	0.1	15	95.99999999999989	stable_low	27
52	3	0.0	204	246.00000000000023	219.0	0.0	0.1	15	240.00000000000023	stable_low	28
52	3	0.0	213	240.00000000000023	219.0	0.0	0.1	15	246.00000000000023	stable_low	29
52	3	0.0	216	237.00000000000023	219.0	0.0	0.1	15	240.00000000000023	stable_low	30
52	3	0.0	219	228.00000000000017	219.0	0.0	0.11	15	237.00000000000023	stable_low	31
52	3	0.0	234	225.00000000000017	219.0	0.0	0.11	15	228.00000000000017	stable_low	32
52	3	0.0	204	228.00000000000017	219.0	0.0	0.11	15	225.00000000000017	stable_low	33
52	3	0.0	144	225.00000000000017	126.0	1.0	0.11	15	228.00000000000017	stable_low	34
52	3	0.0	117	174.00000000000006	126.0	0.0	0.11	15	225.00000000000017	stable_low	35
52	3	0.0	138	153.0	126.0	0.0	0.11	15	174.00000000000006	stable_low	36
52	3	0.0	144	147.0	126.0	0.0	0.12	15	153.0	stable_low	37
52	3	0.0	132	140.99999999999997	126.0	0.0	0.13	15	147.0	stable_low	38
52	3	0.0	129	134.99999999999997	126.0	0.0	0.14	15	140.99999999999997	stable_low	39
52	3	0.0	123	128.99999999999997	126.0	0.0	0.15	15	134.99999999999997	stable_low	40
52	3	0.0	132	122.99999999999994	126.0	0.0	0.15	15	128.99999999999997	stable_low	41
52	3	0.0	114	125.99999999999994	126.0	0.0	0.16	15	122.99999999999994	stable_low	42
52	3	0.0	126	125.99999999999994	126.0	0.0	0.17	15	125.99999999999994	stable_low	43
52	3	0.0	159	122.99999999999994	126.0	0.0	0.17	15	125.99999999999994	stable_low	44
52	3	0.0	114	147.0	126.0	0.0	0.17	15	122.99999999999994	stable_low	45
52	3	0.0	111	125.99999999999994	126.0	0.0	0.17	15	147.0	stable_low	46
52	3	0.0	120	119.99999999999991	126.0	0.0	0.18	15	125.99999999999994	stable_low	47
52	3	0.0	135	119.99999999999991	126.0	0.0	0.18	15	119.99999999999991	stable_low	48
52	3	0.0	132	122.99999999999994	126.0	0.0	0.18	15	119.99999999999991	stable_low	49
52	3	0.0	135	128.99999999999997	126.0	0.0	0.19	15	122.99999999999994	stable_low	50
52	3	0.0	117	131.99999999999997	126.0	0.0	0.19	15	128.99999999999997	stable_low	51
52	3	0.0	135	128.99999999999997	126.0	0.0	0.2	15	131.99999999999997	stable_low	52
52	3	0.0	99	131.99999999999997	126.0	0.0	0.2	15	128.99999999999997	stable_low	53
52	3	0.0	111	101.99999999999989	126.0	0.0	0.2	15	131.99999999999997	stable_low	54
52	3	0.0	117	107.99999999999989	126.0	0.0	0.2	15	101.99999999999989	stable_low	55
52	3	0.0	114	119.99999999999991	126.0	0.0	0.21	15	107.99999999999989	stable_low	56
52	3	0.0	123	119.99999999999991	126.0	0.0	0.22	15	119.99999999999991	stable_low	57
52	3	0.0	144	125.99999999999994	126.0	0.0	0.22	15	119.99999999999991	stable_low	58
52	3	0.0	165	143.99999999999997	180.0	1.0	0.22	15	125.99999999999994	stable_low	59
52	3	0.0	192	174.00000000000006	180.0	0.0	0.22	15	143.99999999999997	stable_low	60
52	3	0.0	162	216.00000000000017	180.0	0.0	0.22	15	174.00000000000006	stable_low	61
52	3	0.0	198	159.0	180.0	0.0	0.22	15	216.00000000000017	stable_low	62
52	3	0.0	186	201.0000000000001	180.0	0.0	0.22	15	159.0	stable_low	63
52	3	0.0	132	195.00000000000009	129.0	1.0	0.22	15	201.0000000000001	stable_low	64
52	3	0.0	102	137.99999999999997	129.0	0.0	0.22	15	195.00000000000009	stable_low	65
52	3	0.0	132	71.99999999999989	129.0	0.0	0.22	15	137.99999999999997	stable_low	66
52	3	0.0	135	140.99999999999997	129.0	0.0	0.23	15	71.99999999999989	stable_low	67
52	3	0.0	162	147.0	129.0	0.0	0.23	15	140.99999999999997	stable_low	68
52	3	0.0	129	174.00000000000006	129.0	0.0	0.23	15	147.0	stable_low	69
52	3	0.0	99	153.0	129.0	0.0	0.23	15	174.00000000000006	stable_low	70
52	3	0.0	117	89.99999999999987	105.0	1.0	0.23	15	153.0	stable_low	71
52	3	0.0	114	122.99999999999994	105.0	0.0	0.24	15	89.99999999999987	stable_low	72
52	3	0.0	105	128.99999999999997	105.0	0.0	0.24	15	122.99999999999994	stable_low	73
52	3	0.0	114	116.99999999999991	105.0	0.0	0.25	15	128.99999999999997	stable_low	74
52	3	0.0	108	125.99999999999994	105.0	0.0	0.25	15	116.99999999999991	stable_low	75
52	3	0.0	108	107.99999999999989	105.0	0.0	0.26	15	125.99999999999994	stable_low	76
52	3	0.0	132	104.99999999999989	105.0	0.0	0.26	15	107.99999999999989	stable_low	77
52	3	0.0	99	143.99999999999997	105.0	0.0	0.26	15	104.99999999999989	stable_low	78
52	3	0.0	102	143.99999999999997	105.0	0.0	0.26	15	143.99999999999997	stable_low	79
52	3	0.0	99	104.99999999999989	105.0	0.0	0.27	15	143.99999999999997	stable_low	80
52	3	0.0	108	104.99999999999989	105.0	0.0	0.28	15	104.99999999999989	stable_low	81
52	3	0.0	102	107.99999999999989	105.0	0.0	0.29	15	104.99999999999989	stable_low	82
52	3	0.0	129	110.99999999999991	105.0	0.0	0.29	15	107.99999999999989	stable_low	83
52	3	0.0	117	131.99999999999997	114.0	1.0	0.29	15	110.99999999999991	stable_low	84
52	3	0.0	105	128.99999999999997	114.0	0.0	0.29	15	131.99999999999997	stable_low	85
52	3	0.0	132	107.99999999999989	114.0	0.0	0.29	15	128.99999999999997	stable_low	86
52	3	0.0	96	119.99999999999991	114.0	0.0	0.29	15	107.99999999999989	stable_low	87
52	3	0.0	117	101.99999999999989	117.0	1.0	0.29	15	119.99999999999991	stable_low	88
52	3	0.0	120	125.99999999999994	117.0	0.0	0.3	15	101.99999999999989	stable_low	89
52	3	0.0	111	125.99999999999994	117.0	0.0	0.3	15	125.99999999999994	stable_low	90
52	3	0.0	111	119.99999999999991	117.0	0.0	0.31	15	125.99999999999994	stable_low	91
52	3	0.0	90	116.99999999999991	99.0	1.0	0.31	15	119.99999999999991	stable_low	92
52	3	0.0	105	92.99999999999987	99.0	0.0	0.31	15	116.99999999999991	stable_low	93
52	3	0.0	114	98.99999999999987	99.0	0.0	0.31	15	92.99999999999987	stable_low	94
52	3	0.0	81	116.99999999999991	99.0	0.0	0.31	15	98.99999999999987	stable_low	95
52	3	0.0	108	89.99999999999987	99.0	0.0	0.31	15	116.99999999999991	stable_low	96
52	3	0.0	105	113.99999999999991	99.0	0.0	0.32	15	89.99999999999987	stable_low	97
52	3	0.0	99	116.99999999999991	99.0	0.0	0.32	15	113.99999999999991	stable_low	98
52	3	0.0	93	110.99999999999991	99.0	0.0	0.32	15	116.99999999999991	stable_low	99
52	3	1.0	264	150.0	240.0	1.0	0.0	15	150.0	stable_high	0
52	3	0.0	237	249.00000000000023	240.0	0.0	0.15	15	150.0	stable_high	1
52	3	0.0	222	234.00000000000023	240.0	0.0	0.3	15	249.00000000000023	stable_high	2
52	3	0.0	237	219.00000000000017	240.0	0.0	0.3	15	234.00000000000023	stable_high	3
52	3	0.0	189	225.00000000000017	183.0	1.0	0.3	15	219.00000000000017	stable_high	4
52	3	0.0	162	204.0000000000001	183.0	0.0	0.3	15	225.00000000000017	stable_high	5
52	3	0.0	177	162.00000000000006	183.0	0.0	0.3	15	204.0000000000001	stable_high	6
52	3	0.0	162	168.00000000000006	183.0	0.0	0.45	15	162.00000000000006	stable_high	7
52	3	0.0	171	165.00000000000006	183.0	0.0	0.6	15	168.00000000000006	stable_high	8
52	3	0.0	186	171.00000000000006	183.0	0.0	0.6	15	165.00000000000006	stable_high	9
52	3	0.0	201	204.0000000000001	183.0	0.0	0.75	15	171.00000000000006	stable_high	10
52	3	0.0	183	207.00000000000017	183.0	0.0	0.75	15	204.0000000000001	stable_high	11
52	3	0.0	165	195.00000000000009	183.0	0.0	0.75	15	207.00000000000017	stable_high	12
52	3	0.0	177	171.00000000000006	183.0	0.0	0.9	15	195.00000000000009	stable_high	13
52	3	0.0	204	189.0000000000001	183.0	0.0	0.9	15	171.00000000000006	stable_high	14
52	3	0.0	162	201.0000000000001	183.0	0.0	0.9	15	189.0000000000001	stable_high	15
52	3	0.0	198	183.00000000000006	183.0	0.0	0.9	15	201.0000000000001	stable_high	16
52	3	0.0	195	207.00000000000017	183.0	0.0	1.05	15	183.00000000000006	stable_high	17
52	3	0.0	192	213.00000000000017	168.0	1.0	1.05	15	207.00000000000017	stable_high	18
52	3	0.0	132	201.0000000000001	168.0	0.0	1.05	15	213.00000000000017	stable_high	19
52	3	0.0	132	156.0	168.0	0.0	1.05	15	201.0000000000001	stable_high	20
52	3	0.0	165	134.99999999999997	168.0	0.0	1.05	15	156.0	stable_high	21
52	3	0.0	189	156.0	168.0	0.0	1.05	15	134.99999999999997	stable_high	22
52	3	0.0	147	195.00000000000009	168.0	0.0	1.05	15	156.0	stable_high	23
52	3	0.0	174	153.0	168.0	0.0	1.05	15	195.00000000000009	stable_high	24
52	3	0.0	180	183.00000000000006	168.0	0.0	1.2	15	153.0	stable_high	25
52	3	0.0	171	189.0000000000001	168.0	0.0	1.2	15	183.00000000000006	stable_high	26
52	3	0.0	177	189.0000000000001	168.0	0.0	1.35	15	189.0000000000001	stable_high	27
52	3	0.0	156	189.0000000000001	168.0	0.0	1.35	15	189.0000000000001	stable_high	28
52	3	0.0	147	171.00000000000006	168.0	0.0	1.35	15	189.0000000000001	stable_high	29
52	3	0.0	186	137.99999999999997	168.0	0.0	1.35	15	171.00000000000006	stable_high	30
52	3	0.0	162	192.00000000000009	168.0	0.0	1.35	15	137.99999999999997	stable_high	31
52	3	0.0	192	171.00000000000006	168.0	0.0	1.35	15	192.00000000000009	stable_high	32
52	3	0.0	171	189.0000000000001	168.0	0.0	1.35	15	171.00000000000006	stable_high	33
52	3	0.0	168	183.00000000000006	168.0	0.0	1.35	15	189.0000000000001	stable_high	34
52	3	0.0	177	174.00000000000006	168.0	0.0	1.5	15	183.00000000000006	stable_high	35
52	3	0.0	189	177.00000000000006	168.0	0.0	1.5	15	174.00000000000006	stable_high	36
52	3	0.0	165	198.0000000000001	168.0	0.0	1.5	15	177.00000000000006	stable_high	37
52	3	0.0	177	198.0000000000001	168.0	0.0	1.5	15	198.0000000000001	stable_high	38
52	3	0.0	174	198.0000000000001	168.0	0.0	1.5	15	198.0000000000001	stable_high	39
52	3	0.0	186	183.00000000000006	168.0	0.0	1.65	15	198.0000000000001	stable_high	40
52	3	0.0	177	186.0000000000001	168.0	0.0	1.8	15	183.00000000000006	stable_high	41
52	3	0.0	171	186.0000000000001	168.0	0.0	1.8	15	186.0000000000001	stable_high	42
52	3	0.0	153	183.00000000000006	168.0	0.0	1.8	15	186.0000000000001	stable_high	43
52	3	0.0	177	159.0	168.0	0.0	1.8	15	183.00000000000006	stable_high	44
52	3	0.0	168	168.00000000000006	168.0	0.0	1.95	15	159.0	stable_high	45
52	3	0.0	177	168.00000000000006	168.0	0.0	1.95	15	168.00000000000006	stable_high	46
52	3	0.0	159	174.00000000000006	168.0	0.0	1.95	15	168.00000000000006	stable_high	47
52	3	0.0	186	171.00000000000006	168.0	0.0	1.95	15	174.00000000000006	stable_high	48
52	3	0.0	165	180.00000000000006	168.0	0.0	1.95	15	171.00000000000006	stable_high	49
52	3	0.0	168	174.00000000000006	168.0	0.0	2.1	15	180.00000000000006	stable_high	50
52	3	0.0	117	171.00000000000006	168.0	0.0	2.1	15	174.00000000000006	stable_high	51
52	3	0.0	168	128.99999999999997	168.0	0.0	2.1	15	171.00000000000006	stable_high	52
52	3	0.0	147	147.0	168.0	0.0	2.25	15	128.99999999999997	stable_high	53
52	3	0.0	153	147.0	168.0	0.0	2.4	15	147.0	stable_high	54
52	3	0.0	108	150.0	99.0	1.0	2.4	15	147.0	stable_high	55
52	3	0.0	117	128.99999999999997	99.0	0.0	2.55	15	150.0	stable_high	56
52	3	0.0	108	125.99999999999994	99.0	0.0	2.55	15	128.99999999999997	stable_high	57
52	3	0.0	72	101.99999999999989	99.0	0.0	2.55	15	125.99999999999994	stable_high	58
52	3	0.0	84	86.99999999999984	99.0	0.0	2.7	15	101.99999999999989	stable_high	59
52	3	0.0	69	86.99999999999984	99.0	0.0	2.7	15	86.99999999999984	stable_high	60
52	3	0.0	69	65.99999999999989	99.0	0.0	2.85	15	86.99999999999984	stable_high	61
52	3	0.0	108	65.99999999999989	99.0	0.0	2.85	15	65.99999999999989	stable_high	62
52	3	0.0	93	89.99999999999987	99.0	0.0	3.0	15	65.99999999999989	stable_high	63
52	3	0.0	120	89.99999999999987	99.0	0.0	3.0	15	89.99999999999987	stable_high	64
52	3	0.0	72	110.99999999999991	99.0	0.0	3.0	15	89.99999999999987	stable_high	65
52	3	0.0	96	92.99999999999987	99.0	0.0	3.15	15	110.99999999999991	stable_high	66
52	3	0.0	84	92.99999999999987	99.0	0.0	3.3	15	92.99999999999987	stable_high	67
52	3	0.0	120	92.99999999999987	99.0	0.0	3.3	15	92.99999999999987	stable_high	68
52	3	0.0	138	113.99999999999991	144.0	1.0	3.3	15	92.99999999999987	stable_high	69
52	3	0.0	144	168.00000000000006	144.0	0.0	3.3	15	113.99999999999991	stable_high	70
52	3	0.0	159	162.00000000000006	144.0	0.0	3.45	15	168.00000000000006	stable_high	71
52	3	0.0	138	162.00000000000006	144.0	0.0	3.45	15	162.00000000000006	stable_high	72
52	3	0.0	150	150.0	144.0	0.0	3.6	15	162.00000000000006	stable_high	73
52	3	0.0	168	150.0	144.0	0.0	3.6	15	150.0	stable_high	74
52	3	0.0	144	162.00000000000006	144.0	0.0	3.6	15	150.0	stable_high	75
52	3	0.0	138	156.0	144.0	0.0	3.6	15	162.00000000000006	stable_high	76
52	3	0.0	120	131.99999999999997	144.0	0.0	3.75	15	156.0	stable_high	77
52	3	0.0	123	122.99999999999994	144.0	0.0	3.9	15	131.99999999999997	stable_high	78
52	3	0.0	132	104.99999999999989	144.0	0.0	3.9	15	122.99999999999994	stable_high	79
52	3	0.0	144	122.99999999999994	144.0	0.0	3.9	15	104.99999999999989	stable_high	80
52	3	0.0	147	131.99999999999997	144.0	0.0	3.9	15	122.99999999999994	stable_high	81
52	3	0.0	141	165.00000000000006	144.0	0.0	3.9	15	131.99999999999997	stable_high	82
52	3	0.0	123	150.0	144.0	0.0	3.9	15	165.00000000000006	stable_high	83
52	3	0.0	147	113.99999999999991	144.0	0.0	3.9	15	150.0	stable_high	84
52	3	0.0	138	150.0	144.0	0.0	4.05	15	113.99999999999991	stable_high	85
52	3	0.0	144	140.99999999999997	144.0	0.0	4.2	15	150.0	stable_high	86
52	3	0.0	135	147.0	144.0	0.0	4.35	15	140.99999999999997	stable_high	87
52	3	0.0	141	137.99999999999997	144.0	0.0	4.5	15	147.0	stable_high	88
52	3	0.0	156	143.99999999999997	144.0	0.0	4.5	15	137.99999999999997	stable_high	89
52	3	0.0	141	156.0	144.0	0.0	4.5	15	143.99999999999997	stable_high	90
