subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond
69	4	1	26	150	48	0	1	17.5	0	150	main_noPush
69	4	0	69	150	48	0	1	17.5	0	150	main_noPush
69	4	0	60	108	48	0	1	17.5	0	150	main_noPush
69	4	0	25	87	48	0	1	17.5	0	108	main_noPush
69	4	0	70	52.5	48	0	1	17.5	0	87	main_noPush
69	4	0	60	52.5	48	0	0.25	17.5	0	52.5	main_noPush
69	4	0	36	52.5	48	0	1	17.5	0	52.5	main_noPush
69	4	0	56	52.5	48	0	0.25	17.5	0	52.5	main_noPush
69	4	0	40	52.5	48	0	0.25	17.5	0	52.5	main_noPush
69	4	0	76	52.5	48	0	0.25	17.5	0	52.5	main_noPush
69	4	0	69	58.5	48	0	0.25	17.5	0	52.5	main_noPush
69	4	0	60	58.5	48	0	0.25	17.5	1	58.5	main_noPush
69	4	0	46	58.5	48	0	1	17.5	1	58.5	main_noPush
69	4	0	51	58.5	48	0	1	17.5	0	58.5	main_noPush
69	4	0	61	58.5	48	0	0.25	17.5	1	58.5	main_noPush
69	4	0	58	58.5	48	0	1	17.5	0	58.5	main_noPush
69	4	0	80	58.5	48	0	1	17.5	0	58.5	main_noPush
69	4	0	48	64.5	48	0	0.25	17.5	0	58.5	main_noPush
69	4	0	50	64.5	48	0	1	17.5	0	64.5	main_noPush
69	4	0	52	64.5	48	0	0.25	17.5	0	64.5	main_noPush
69	4	0	91	64.5	118	1	1	17.5	0	64.5	main_noPush
69	4	0	131	72	118	0	1	17.5	0	64.5	main_noPush
69	4	0	139	103.5	118	0	0.25	17.5	0	72	main_noPush
69	4	0	137	120	118	0	0.25	17.5	0	103.5	main_noPush
69	4	0	126	120	118	0	0.25	17.5	0	120	main_noPush
69	4	0	121	120	118	0	0.25	17.5	0	120	main_noPush
69	4	0	134	120	118	0	1	17.5	0	120	main_noPush
69	4	0	110	120	118	0	0.25	17.5	1	120	main_noPush
69	4	0	122	120	118	0	0.25	17.5	0	120	main_noPush
69	4	0	134	120	118	0	1	17.5	0	120	main_noPush
69	4	0	126	120	118	0	1	17.5	0	120	main_noPush
69	4	0	90	120	118	0	0.25	17.5	0	120	main_noPush
69	4	0	130	102	118	0	1	17.5	0	120	main_noPush
69	4	0	94	105	118	0	1	17.5	0	102	main_noPush
69	4	0	122	105	118	0	0.25	17.5	0	105	main_noPush
69	4	0	161	105	165	1	0.25	17.5	0	105	main_noPush
69	4	0	152	139.5	165	0	0.25	17.5	0	105	main_noPush
69	4	0	157	139.5	165	0	0.25	17.5	0	139.5	main_noPush
69	4	0	134	139.5	165	0	1	17.5	0	139.5	main_noPush
69	4	0	156	139.5	165	0	1	17.5	0	139.5	main_noPush
69	4	0	167	139.5	165	0	0.25	17.5	1	139.5	main_noPush
69	4	0	149	147	165	0	1	17.5	0	139.5	main_noPush
69	4	0	148	147	165	0	0.25	17.5	0	147	main_noPush
69	4	0	155	147	165	0	1	17.5	1	147	main_noPush
69	4	0	176	147	165	0	0.25	17.5	0	147	main_noPush
69	4	0	174	175.5	165	0	0.25	17.5	0	147	main_noPush
69	4	0	154	175.5	165	0	1	17.5	0	175.5	main_noPush
69	4	0	144	165	165	0	0.25	17.5	0	175.5	main_noPush
69	4	0	168	156	165	0	0.25	17.5	0	165	main_noPush
69	4	0	160	156	165	0	1	17.5	0	156	main_noPush
69	4	0	165	156	165	0	0.25	17.5	0	156	main_noPush
69	4	0	197	156	165	0	1	17.5	0	156	main_noPush
69	4	0	138	189	165	0	0.25	17.5	0	156	main_noPush
69	4	0	153	150	165	0	1	17.5	0	189	main_noPush
69	4	0	190	150	165	0	0.25	17.5	0	150	main_noPush
69	4	0	198	177	165	0	1	17.5	0	150	main_noPush
69	4	0	186	177	165	0	1	17.5	0	177	main_noPush
69	4	0	207	177	165	0	1	17.5	0	177	main_noPush
69	4	0	156	181.5	165	0	1	17.5	0	177	main_noPush
69	4	0	136	174	165	0	1	17.5	0	181.5	main_noPush
69	4	0	167	154.5	165	0	1	17.5	1	174	main_noPush
69	4	0	178	154.5	173	1	1	17.5	0	154.5	main_noPush
69	4	0	183	154.5	173	0	1	17.5	1	154.5	main_noPush
69	4	0	171	163.5	173	0	0.25	17.5	0	154.5	main_noPush
69	4	0	166	163.5	173	0	0.25	17.5	0	163.5	main_noPush
69	4	0	170	163.5	173	0	1	17.5	0	163.5	main_noPush
69	4	0	190	163.5	173	0	0.25	17.5	0	163.5	main_noPush
69	4	0	174	171	173	0	0.25	17.5	0	163.5	main_noPush
69	4	0	214	171	173	0	0.25	17.5	0	171	main_noPush
69	4	0	117	192	132	1	1	17.5	0	171	main_noPush
69	4	0	140	138	132	0	1	17.5	0	192	main_noPush
69	4	0	145	138	132	0	1	17.5	0	138	main_noPush
69	4	0	126	138	132	0	1	17.5	0	138	main_noPush
69	4	0	159	138	132	0	1	17.5	0	138	main_noPush
69	4	0	95	138	132	0	0.25	17.5	0	138	main_noPush
69	4	0	94	112.5	132	0	0.25	17.5	0	138	main_noPush
69	4	0	145	112.5	132	0	0.25	17.5	0	112.5	main_noPush
69	4	0	118	123	132	0	0.25	17.5	0	112.5	main_noPush
69	4	0	130	123	132	0	0.25	17.5	0	123	main_noPush
69	4	0	108	123	132	0	0.25	17.5	0	123	main_noPush
69	4	0	175	123	132	0	1	17.5	0	123	main_noPush
69	4	0	150	151.5	132	0	0.25	17.5	0	123	main_noPush
69	4	0	134	151.5	132	0	0.25	17.5	0	151.5	main_noPush
69	4	0	120	151.5	132	0	1	17.5	0	151.5	main_noPush
69	4	0	139	145.5	132	0	0.25	17.5	0	151.5	main_noPush
69	4	0	128	145.5	132	0	1	17.5	0	145.5	main_noPush
69	4	0	129	145.5	132	0	0.25	17.5	0	145.5	main_noPush
69	4	0	137	145.5	132	0	0.25	17.5	0	145.5	main_noPush
69	4	0	84	145.5	77	1	1	17.5	0	145.5	main_noPush
69	4	0	66	109.5	77	0	0.25	17.5	0	145.5	main_noPush
69	4	0	58	99	77	0	0.25	17.5	0	109.5	main_noPush
69	4	0	35	75	77	0	1	17.5	0	99	main_noPush
69	4	0	56	49.5	77	0	0.25	17.5	0	75	main_noPush
69	4	0	105	49.5	77	0	1	17.5	0	49.5	main_noPush
69	4	0	25	103	17	1	1	17.5	0	49.5	main_noPush
69	4	0	21	34.5	17	0	0.25	17.5	1	103	main_noPush
69	4	0	20	34.5	17	0	1	17.5	0	34.5	main_noPush
69	4	0	44	34.5	17	0	0.25	17.5	1	34.5	main_noPush
69	4	0	16	34.5	17	0	0.25	17.5	0	34.5	main_noPush
69	4	0	48	34.5	17	0	1	17.5	0	34.5	main_noPush
69	4	1	62	150	72	0	1	17.5	0	150	main_noPush
69	4	0	36	81	72	0	0.25	17.5	0	150	main_noPush
69	4	0	75	45	72	0	1	17.5	0	81	main_noPush
69	4	0	97	63	72	0	1	17.5	0	45	main_noPush
69	4	0	76	63	72	0	1	17.5	0	63	main_noPush
69	4	0	68	63	72	0	0.25	17.5	0	63	main_noPush
69	4	0	90	63	72	0	0.25	17.5	0	63	main_noPush
69	4	0	72	69	72	0	1	17.5	0	63	main_noPush
69	4	0	61	69	72	0	1	17.5	0	69	main_noPush
69	4	0	106	69	72	0	1	17.5	0	69	main_noPush
69	4	0	85	88.5	72	0	1	17.5	0	69	main_noPush
69	4	0	84	88.5	72	0	0.25	17.5	0	88.5	main_noPush
69	4	0	54	88.5	72	0	0.25	17.5	0	88.5	main_noPush
69	4	0	70	70.5	72	0	1	17.5	0	88.5	main_noPush
69	4	0	72	70.5	72	0	1	17.5	0	70.5	main_noPush
69	4	0	73	70.5	72	0	0.25	17.5	0	70.5	main_noPush
