subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond	ip	saw	init_rt	rt
46	3	1	66	150	88	0	1	17.5	0	150	main_noPush	35	29	NaN	2.65926059099729
46	3	0	111	90	88	0	0.25	17.5	1	150	main_noPush	35	29	0.336309220001567	4.87272672499967
46	3	0	57	97.5	88	0	0.25	17.5	1	90	main_noPush	35	29	0.930824538998422	6.77907049799978
46	3	0	76	66	88	0	0.25	17.5	0	97.5	main_noPush	35	29	1.05289618100505	7.86165597200306
46	3	0	74	70.5	88	0	1	17.5	0	66	main_noPush	35	29	1.35106674299459	2.74188127499656
46	3	0	94	70.5	88	0	1	17.5	0	70.5	main_noPush	35	29	NaN	0.83469129200239
46	3	0	129	81	88	0	0.25	17.5	0	70.5	main_noPush	35	29	0.878265430001193	2.8135835619978
46	3	0	77	117	88	0	0.25	17.5	0	81	main_noPush	35	29	0.585589775000699	1.98379443599697
46	3	0	53	90	88	0	0.25	17.5	0	117	main_noPush	35	29	0.651450025005033	2.85970685800567
46	3	0	84	55.5	88	0	0.25	17.5	0	90	main_noPush	35	29	1.07822789100464	2.79153677400609
46	3	0	77	63	88	0	0.25	17.5	0	55.5	main_noPush	35	29	2.92926313100179	3.7129204390003
46	3	0	94	75	88	0	0.25	17.5	0	63	main_noPush	35	29	1.07650351600023	1.93082341500121
46	3	0	68	88.5	88	0	0.25	17.5	0	75	main_noPush	35	29	0.231552211000235	1.22404978900158
46	3	0	116	84	88	0	0.25	17.5	0	88.5	main_noPush	35	29	0.205722586004413	0.856511129000864
46	3	0	88	81	112	1	0.25	17.5	0	84	main_noPush	35	29	0.143829387998267	1.33852145900164
46	3	0	133	112.5	112	0	1	17.5	1	81	main_noPush	35	29	0.207500828000775	4.6968104080006
46	3	0	97	127.5	112	0	1	17.5	0	112.5	main_noPush	35	29	1.1435376330046	2.11921822099976
46	3	0	104	99	112	0	1	17.5	0	127.5	main_noPush	35	29	0.714397820993327	1.48894979499892
46	3	0	153	91.5	150	1	1	17.5	0	99	main_noPush	35	29	0.768266521998157	1.62310349300242
46	3	0	128	150	150	0	0.25	17.5	1	91.5	main_noPush	35	29	0.00277895399631234	3.66027657399536
46	3	0	160	132	150	0	0.25	17.5	0	150	main_noPush	35	29	4.53024723700219	6.38005313699978
46	3	0	150	132	180	1	0.25	17.5	0	132	main_noPush	35	29	0.904227209000965	4.17363586799911
46	3	0	192	139.5	180	0	0.25	17.5	0	132	main_noPush	35	29	0.0305860820008093	1.17197189500439
46	3	0	189	165	180	0	1	17.5	0	139.5	main_noPush	35	29	0.63069875400106	2.30092295599752
46	3	0	167	180	180	0	0.25	17.5	1	165	main_noPush	35	29	0.00279524899815442	2.65612068199698
46	3	0	159	172.5	180	0	0.25	17.5	0	180	main_noPush	35	29	0.910144693007169	1.69462259700231
46	3	0	164	166.5	180	0	0.25	17.5	0	172.5	main_noPush	35	29	0.299857922000228	1.53927466899768
46	3	0	205	165	180	0	0.25	17.5	0	166.5	main_noPush	35	29	0.58638551900367	2.86245558300288
46	3	0	204	185.5	180	0	1	17.5	0	165	main_noPush	35	29	1.07400331499957	4.60978596199857
46	3	0	160	194.5	180	0	1	17.5	0	185.5	main_noPush	35	29	1.15126131600118	2.14274529700197
46	3	0	272	172	293	1	1	17.5	0	194.5	main_noPush	35	29	0.786594630000764	2.20844657000271
46	3	0	285	271	293	0	0.25	17.5	0	172	main_noPush	35	29	0.229609105997952	2.19840859299438
46	3	0	280	277	293	0	0.25	17.5	0	271	main_noPush	35	29	0.630640099996526	1.47091845599789
46	3	0	289	277	293	0	1	17.5	0	277	main_noPush	35	29	NaN	0.758818055001029
46	3	0	272	277	293	0	1	17.5	0	277	main_noPush	35	29	NaN	1.30550924000272
46	3	0	258	271	293	0	1	17.5	0	277	main_noPush	35	29	0.820379807999416	1.50003142900096
46	3	0	293	286	293	0	1	17.5	1	271	main_noPush	35	29	0.41321281400451	4.07329662700067
46	3	0	290	286	293	0	0.25	17.5	0	286	main_noPush	35	29	NaN	2.20029309500387
46	3	0	298	286	293	0	0.25	17.5	0	286	main_noPush	35	29	NaN	0.564941381002427
46	3	0	293	281.5	293	0	1	17.5	0	286	main_noPush	35	29	0.941250814001251	1.36899691200233
46	3	0	295	275.5	297	1	0.25	17.5	0	281.5	main_noPush	35	29	0.741608517004352	1.01131196200004
46	3	0	294	275.5	297	0	1	17.5	0	275.5	main_noPush	35	29	NaN	0.407583637002972
46	3	0	276	275.5	297	0	0.25	17.5	0	275.5	main_noPush	35	29	NaN	0.452003386999422
46	3	0	285	269.5	297	0	0.25	17.5	0	275.5	main_noPush	35	29	0.429733734003094	0.840511684000376
46	3	0	290	274	297	0	0.25	17.5	0	269.5	main_noPush	35	29	1.00899452099839	1.37060364100034
46	3	0	277	278.5	297	0	1	17.5	0	274	main_noPush	35	29	0.384706482000183	1.36288039499777
46	3	0	296	278.5	297	0	0.25	17.5	0	278.5	main_noPush	35	29	NaN	0.69864403399697
46	3	0	291	278.5	297	0	0.25	17.5	0	278.5	main_noPush	35	29	NaN	0.763684861005459
46	3	0	288	284.5	297	0	0.25	17.5	0	278.5	main_noPush	35	29	0.206985579003231	0.63433793400327
46	3	0	278	287	297	0	1	17.5	1	284.5	main_noPush	35	29	2.42415063599765	4.19115094199515
46	3	0	284	287	297	0	1	17.5	0	287	main_noPush	35	29	NaN	0.923535762995016
46	3	0	298	287	297	0	1	17.5	0	287	main_noPush	35	29	NaN	1.43427856299968
46	3	0	276	289	297	0	0.25	17.5	0	287	main_noPush	35	29	0.760911741999735	1.14241099300125
46	3	0	273	286	297	0	0.25	17.5	0	289	main_noPush	35	29	0.427804073005973	1.39228007700149
46	3	0	288	280	297	0	1	17.5	0	286	main_noPush	35	29	0.318259487998148	0.790032393997535
46	3	0	289	280	297	0	1	17.5	0	280	main_noPush	35	29	NaN	0.69803253000282
