subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	z_t	cond	trial
35	3	1.0	264	167.99999999999997	240.0	1.0	0.0	15	150.0	stable_high	0
35	3	0.0	237	243.0	240.0	0.0	0.15	15	167.99999999999997	stable_high	1
35	3	0.0	222	261.0000000000001	240.0	0.0	0.15	15	243.0	stable_high	2
35	3	0.0	237	246.00000000000006	240.0	0.0	0.3	15	261.0000000000001	stable_high	3
35	3	0.0	189	224.99999999999991	183.0	1.0	0.3	15	246.00000000000006	stable_high	4
35	3	0.0	162	206.99999999999991	183.0	0.0	0.3	15	224.99999999999991	stable_high	5
35	3	0.0	177	179.99999999999997	183.0	0.0	0.45	15	206.99999999999991	stable_high	6
35	3	0.0	162	156.0	183.0	0.0	0.6	15	179.99999999999997	stable_high	7
35	3	0.0	171	179.99999999999997	183.0	0.0	0.75	15	156.0	stable_high	8
35	3	0.0	186	153.0	183.0	0.0	0.75	15	179.99999999999997	stable_high	9
35	3	0.0	201	200.99999999999994	183.0	0.0	0.9	15	153.0	stable_high	10
35	3	0.0	183	185.99999999999997	183.0	0.0	1.05	15	200.99999999999994	stable_high	11
35	3	0.0	165	218.99999999999991	183.0	0.0	1.05	15	185.99999999999997	stable_high	12
35	3	0.0	177	218.99999999999991	183.0	0.0	1.05	15	218.99999999999991	stable_high	13
35	3	0.0	204	197.99999999999994	183.0	0.0	1.2	15	218.99999999999991	stable_high	14
35	3	0.0	162	188.99999999999997	183.0	0.0	1.2	15	197.99999999999994	stable_high	15
35	3	0.0	198	182.99999999999997	183.0	0.0	1.2	15	188.99999999999997	stable_high	16
35	3	0.0	195	212.99999999999991	183.0	0.0	1.2	15	182.99999999999997	stable_high	17
35	3	0.0	192	206.99999999999991	168.0	1.0	1.35	15	212.99999999999991	stable_high	18
35	3	0.0	132	182.99999999999997	168.0	0.0	1.35	15	206.99999999999991	stable_high	19
35	3	0.0	132	150.00000000000006	168.0	0.0	1.35	15	182.99999999999997	stable_high	20
35	3	0.0	165	123.00000000000006	168.0	0.0	1.35	15	150.00000000000006	stable_high	21
35	3	0.0	189	179.99999999999997	168.0	0.0	1.35	15	123.00000000000006	stable_high	22
35	3	0.0	147	206.99999999999991	168.0	0.0	1.35	15	179.99999999999997	stable_high	23
35	3	0.0	174	165.00000000000003	168.0	0.0	1.35	15	206.99999999999991	stable_high	24
35	3	0.0	180	150.00000000000006	168.0	0.0	1.35	15	165.00000000000003	stable_high	25
35	3	0.0	171	147.00000000000003	168.0	0.0	1.35	15	150.00000000000006	stable_high	26
35	3	0.0	177	185.99999999999997	168.0	0.0	1.5	15	147.00000000000003	stable_high	27
35	3	0.0	156	167.99999999999997	168.0	0.0	1.65	15	185.99999999999997	stable_high	28
35	3	0.0	147	126.00000000000006	168.0	0.0	1.65	15	167.99999999999997	stable_high	29
35	3	0.0	186	159.0	168.0	0.0	1.65	15	126.00000000000006	stable_high	30
35	3	0.0	162	197.99999999999994	168.0	0.0	1.65	15	159.0	stable_high	31
35	3	0.0	192	173.99999999999997	168.0	0.0	1.65	15	197.99999999999994	stable_high	32
35	3	0.0	171	167.99999999999997	168.0	0.0	1.8	15	173.99999999999997	stable_high	33
35	3	0.0	168	197.99999999999994	168.0	0.0	1.8	15	167.99999999999997	stable_high	34
35	3	0.0	177	179.99999999999997	168.0	0.0	1.95	15	197.99999999999994	stable_high	35
35	3	0.0	189	185.99999999999997	168.0	0.0	2.1	15	179.99999999999997	stable_high	36
35	3	0.0	165	194.99999999999994	168.0	0.0	2.1	15	185.99999999999997	stable_high	37
35	3	0.0	177	173.99999999999997	168.0	0.0	2.25	15	194.99999999999994	stable_high	38
35	3	0.0	174	179.99999999999997	168.0	0.0	2.4	15	173.99999999999997	stable_high	39
35	3	0.0	186	185.99999999999997	168.0	0.0	2.55	15	179.99999999999997	stable_high	40
35	3	0.0	177	194.99999999999994	168.0	0.0	2.55	15	185.99999999999997	stable_high	41
35	3	0.0	171	188.99999999999997	168.0	0.0	2.55	15	194.99999999999994	stable_high	42
35	3	0.0	153	179.99999999999997	168.0	0.0	2.55	15	188.99999999999997	stable_high	43
35	3	0.0	177	162.0	168.0	0.0	2.55	15	179.99999999999997	stable_high	44
35	3	0.0	168	182.99999999999997	168.0	0.0	2.7	15	162.0	stable_high	45
35	3	0.0	177	179.99999999999997	168.0	0.0	2.85	15	182.99999999999997	stable_high	46
35	3	0.0	159	182.99999999999997	168.0	0.0	2.85	15	179.99999999999997	stable_high	47
35	3	0.0	186	170.99999999999997	168.0	0.0	2.85	15	182.99999999999997	stable_high	48
35	3	0.0	165	191.99999999999997	168.0	0.0	2.85	15	170.99999999999997	stable_high	49
35	3	0.0	168	188.99999999999997	168.0	0.0	2.85	15	191.99999999999997	stable_high	50
35	3	0.0	117	185.99999999999997	168.0	0.0	2.85	15	188.99999999999997	stable_high	51
35	3	0.0	168	177.0	168.0	0.0	3.0	15	185.99999999999997	stable_high	52
35	3	0.0	147	177.0	168.0	0.0	3.0	15	177.0	stable_high	53
35	3	0.0	153	162.0	168.0	0.0	3.15	15	177.0	stable_high	54
35	3	0.0	108	165.00000000000003	99.0	1.0	3.15	15	162.0	stable_high	55
35	3	0.0	117	156.0	99.0	0.0	3.15	15	165.00000000000003	stable_high	56
35	3	0.0	108	132.00000000000006	99.0	0.0	3.15	15	156.0	stable_high	57
35	3	0.0	72	117.00000000000006	99.0	0.0	3.15	15	132.00000000000006	stable_high	58
35	3	0.0	84	78.00000000000014	99.0	0.0	3.3	15	117.00000000000006	stable_high	59
35	3	0.0	69	93.00000000000011	99.0	0.0	3.3	15	78.00000000000014	stable_high	60
35	3	0.0	69	69.00000000000014	99.0	0.0	3.45	15	93.00000000000011	stable_high	61
35	3	0.0	108	75.00000000000014	99.0	0.0	3.45	15	69.00000000000014	stable_high	62
35	3	0.0	93	114.00000000000009	99.0	0.0	3.45	15	75.00000000000014	stable_high	63
35	3	0.0	120	102.00000000000013	99.0	0.0	3.45	15	114.00000000000009	stable_high	64
35	3	0.0	72	111.00000000000009	99.0	0.0	3.45	15	102.00000000000013	stable_high	65
35	3	0.0	96	111.00000000000009	99.0	0.0	3.45	15	111.00000000000009	stable_high	66
35	3	0.0	84	108.00000000000009	99.0	0.0	3.45	15	111.00000000000009	stable_high	67
35	3	0.0	120	108.00000000000009	99.0	0.0	3.45	15	108.00000000000009	stable_high	68
35	3	0.0	138	114.00000000000009	144.0	1.0	3.45	15	108.00000000000009	stable_high	69
35	3	0.0	144	144.00000000000003	144.0	0.0	3.6	15	114.00000000000009	stable_high	70
35	3	0.0	159	153.0	144.0	0.0	3.75	15	144.00000000000003	stable_high	71
35	3	0.0	138	170.99999999999997	144.0	0.0	3.75	15	153.0	stable_high	72
35	3	0.0	150	126.00000000000006	144.0	0.0	3.75	15	170.99999999999997	stable_high	73
35	3	0.0	168	126.00000000000006	144.0	0.0	3.75	15	126.00000000000006	stable_high	74
