subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond
39	3	1	193	150	188	0	1	17.5	0	150	main_noPush
39	3	0	211	168	188	0	1	17.5	0	150	main_noPush
39	3	0	184	168	188	0	0.25	17.5	0	168	main_noPush
39	3	0	170	180	188	0	0.25	17.5	0	168	main_noPush
39	3	0	166	180	188	0	1	17.5	0	180	main_noPush
39	3	0	200	174	188	0	0.25	17.5	0	180	main_noPush
39	3	0	163	195	188	0	0.25	17.5	0	174	main_noPush
39	3	0	213	174	231	1	1	17.5	0	195	main_noPush
39	3	0	259	208.5	231	0	1	17.5	0	174	main_noPush
39	3	0	237	253.5	231	0	1	17.5	0	208.5	main_noPush
39	3	0	74	240	51	1	1	17.5	0	253.5	main_noPush
39	3	0	26	88.5	51	0	1	17.5	0	240	main_noPush
39	3	0	49	40.5	51	0	1	17.5	0	88.5	main_noPush
39	3	0	11	54	51	0	1	17.5	0	40.5	main_noPush
39	3	0	58	22.5	51	0	1	17.5	0	54	main_noPush
39	3	0	87	25.5	51	0	1	17.5	0	22.5	main_noPush
39	3	0	59	82.5	51	0	1	17.5	0	25.5	main_noPush
39	3	0	71	76.5	51	0	0.25	17.5	0	82.5	main_noPush
39	3	0	34	76.5	51	0	0.25	17.5	0	76.5	main_noPush
39	3	0	47	40.5	51	0	0.25	17.5	0	76.5	main_noPush
39	3	0	28	49.5	51	0	0.25	17.5	0	40.5	main_noPush
39	3	0	48	39	51	0	0.25	17.5	0	49.5	main_noPush
39	3	0	45	45	51	0	0.25	17.5	0	39	main_noPush
39	3	0	13	45	51	0	0.25	17.5	0	45	main_noPush
39	3	0	53	27	51	0	0.25	17.5	0	45	main_noPush
39	3	0	48	52.5	51	0	1	17.5	0	27	main_noPush
39	3	0	76	52.5	51	0	0.25	17.5	0	52.5	main_noPush
39	3	0	60	78	51	0	1	17.5	0	52.5	main_noPush
39	3	0	99	60	93	1	1	17.5	1	78	main_noPush
39	3	0	75	93	93	0	0.25	17.5	0	60	main_noPush
39	3	0	96	81	93	0	1	17.5	0	93	main_noPush
39	3	0	100	94.5	93	0	0.25	17.5	0	81	main_noPush
39	3	0	103	106.5	93	0	1	17.5	0	94.5	main_noPush
39	3	0	101	106.5	93	0	1	17.5	0	106.5	main_noPush
39	3	0	200	106.5	211	1	1	17.5	0	106.5	main_noPush
39	3	0	202	186	211	0	1	17.5	0	106.5	main_noPush
39	3	0	237	196.5	211	0	0.25	17.5	0	186	main_noPush
39	3	0	195	238.5	211	0	0.25	17.5	0	196.5	main_noPush
39	3	0	191	207	211	0	1	17.5	0	238.5	main_noPush
39	3	0	199	196.5	211	0	1	17.5	0	207	main_noPush
39	3	0	51	207	35	1	0.25	17.5	0	196.5	main_noPush
39	3	0	32	82.5	35	0	1	17.5	0	207	main_noPush
39	3	0	52	40.5	35	0	0.25	17.5	1	82.5	main_noPush
39	3	0	29	54	35	0	1	17.5	0	40.5	main_noPush
39	3	0	35	43.5	35	0	0.25	17.5	0	54	main_noPush
39	3	0	71	43.5	35	0	1	17.5	0	43.5	main_noPush
39	3	0	40	67.5	35	0	1	17.5	0	43.5	main_noPush
39	3	0	22	54	35	0	1	17.5	0	67.5	main_noPush
39	3	0	43	54	35	0	0.25	17.5	0	54	main_noPush
39	3	0	68	54	35	0	0.25	17.5	0	54	main_noPush
39	3	0	58	63	35	0	1	17.5	0	54	main_noPush
39	3	0	34	63	35	0	1	17.5	0	63	main_noPush
39	3	0	35	49.5	35	0	1	17.5	1	63	main_noPush
39	3	0	67	49.5	35	0	0.25	17.5	0	49.5	main_noPush
39	3	0	18	69	26	1	0.25	17.5	0	49.5	main_noPush
39	3	0	45	55.5	26	0	1	17.5	0	69	main_noPush
39	3	0	3	55.5	26	0	0.25	17.5	0	55.5	main_noPush
39	3	0	28	34.5	26	0	1	17.5	0	55.5	main_noPush
39	3	0	22	34.5	26	0	0.25	17.5	0	34.5	main_noPush
39	3	0	22	34.5	26	0	0.25	17.5	0	34.5	main_noPush
39	3	0	30	34.5	26	0	1	17.5	0	34.5	main_noPush
