subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond
72	4	1	41	150	52	0	1	17.5	0	150	main_noPush
72	4	0	46	79.5	52	0	0.25	17.5	0	150	main_noPush
72	4	0	90	79.5	52	0	1	17.5	0	79.5	main_noPush
72	4	0	66	79.5	52	0	0.25	17.5	0	79.5	main_noPush
72	4	0	41	79.5	52	0	0.25	17.5	0	79.5	main_noPush
72	4	0	59	69	52	0	1	17.5	0	79.5	main_noPush
72	4	0	47	69	52	0	0.25	17.5	0	69	main_noPush
72	4	0	38	69	52	0	1	17.5	0	69	main_noPush
72	4	0	46	69	52	0	1	17.5	0	69	main_noPush
72	4	0	77	69	52	0	1	17.5	0	69	main_noPush
72	4	0	38	69	52	0	1	17.5	0	69	main_noPush
72	4	0	43	60	52	0	0.25	17.5	0	69	main_noPush
72	4	0	61	60	52	0	0.25	17.5	1	60	main_noPush
72	4	0	38	60	52	0	0.25	17.5	0	60	main_noPush
72	4	0	45	60	52	0	0.25	17.5	0	60	main_noPush
72	4	0	55	60	52	0	1	17.5	0	60	main_noPush
72	4	0	208	60	231	1	0.25	17.5	0	60	main_noPush
72	4	0	235	142.5	231	0	0.25	17.5	0	60	main_noPush
72	4	0	253	214.5	231	0	0.25	17.5	0	142.5	main_noPush
72	4	0	2	228	33	1	0.25	17.5	0	214.5	main_noPush
72	4	0	48	228	33	0	0.25	17.5	0	228	main_noPush
72	4	0	35	228	33	0	0.25	17.5	0	228	main_noPush
72	4	0	55	184.5	33	0	1	17.5	0	228	main_noPush
72	4	0	23	183	33	0	0.25	17.5	0	184.5	main_noPush
72	4	0	3	183	33	0	0.25	17.5	0	183	main_noPush
72	4	0	24	183	33	0	1	17.5	0	183	main_noPush
72	4	0	44	102	33	0	1	17.5	0	183	main_noPush
72	4	0	45	114	33	0	0.25	17.5	0	102	main_noPush
72	4	0	42	28.5	33	0	0.25	17.5	1	114	main_noPush
72	4	0	50	28.5	33	0	0.25	17.5	0	28.5	main_noPush
72	4	0	68	28.5	33	0	1	17.5	1	28.5	main_noPush
72	4	0	31	37.5	33	0	1	17.5	0	28.5	main_noPush
72	4	0	47	37.5	33	0	1	17.5	0	37.5	main_noPush
72	4	0	10	37.5	33	0	1	17.5	0	37.5	main_noPush
72	4	0	28	28.5	33	0	0.25	17.5	0	37.5	main_noPush
72	4	0	147	28.5	159	1	1	17.5	0	28.5	main_noPush
72	4	0	109	28.5	159	0	0.25	17.5	0	28.5	main_noPush
72	4	0	157	40.5	159	0	0.25	17.5	0	28.5	main_noPush
72	4	0	145	42	159	0	0.25	17.5	0	40.5	main_noPush
72	4	0	148	153	159	0	0.25	17.5	0	42	main_noPush
72	4	0	139	153	159	0	0.25	17.5	0	153	main_noPush
72	4	0	153	153	159	0	1	17.5	1	153	main_noPush
72	4	0	147	153	159	0	0.25	17.5	0	153	main_noPush
72	4	0	164	153	159	0	1	17.5	0	153	main_noPush
72	4	0	156	153	159	0	0.25	17.5	0	153	main_noPush
72	4	0	155	153	159	0	1	17.5	1	153	main_noPush
72	4	0	159	153	159	0	0.25	17.5	0	153	main_noPush
72	4	0	118	153	140	1	1	17.5	0	153	main_noPush
72	4	0	102	124.5	140	0	1	17.5	0	153	main_noPush
72	4	0	126	124.5	140	0	0.25	17.5	0	124.5	main_noPush
72	4	0	279	120	289	1	1	17.5	0	124.5	main_noPush
72	4	0	295	121.5	289	0	0.25	17.5	0	120	main_noPush
72	4	0	296	123	289	0	0.25	17.5	0	121.5	main_noPush
72	4	0	271	283.5	289	0	1	17.5	0	123	main_noPush
72	4	0	291	283.5	289	0	1	17.5	0	283.5	main_noPush
72	4	0	295	283.5	289	0	0.25	17.5	0	283.5	main_noPush
72	4	0	284	283.5	289	0	1	17.5	0	283.5	main_noPush
72	4	0	295	283.5	289	0	1	17.5	0	283.5	main_noPush
72	4	0	291	283.5	289	0	0.25	17.5	0	283.5	main_noPush
72	4	0	284	283.5	289	0	1	17.5	0	283.5	main_noPush
72	4	0	279	283.5	289	0	0.25	17.5	0	283.5	main_noPush
72	4	0	293	283.5	289	0	1	17.5	0	283.5	main_noPush
72	4	0	290	283.5	289	0	1	17.5	0	283.5	main_noPush
72	4	0	286	283.5	289	0	0.25	17.5	0	283.5	main_noPush
72	4	0	296	283.5	292	1	0.25	17.5	0	283.5	main_noPush
72	4	0	285	283.5	292	0	0.25	17.5	0	283.5	main_noPush
72	4	0	300	283.5	292	0	0.25	17.5	0	283.5	main_noPush
72	4	0	279	283.5	292	0	0.25	17.5	0	283.5	main_noPush
72	4	0	27	283.5	32	1	1	17.5	0	283.5	main_noPush
72	4	0	53	150	32	0	1	17.5	0	283.5	main_noPush
72	4	0	7	148.5	32	0	1	17.5	0	150	main_noPush
72	4	0	14	147	32	0	1	17.5	0	148.5	main_noPush
72	4	0	9	1.5	32	0	0.25	17.5	0	147	main_noPush
72	4	0	16	1.5	32	0	1	17.5	0	1.5	main_noPush
72	4	0	46	1.5	32	0	0.25	17.5	0	1.5	main_noPush
72	4	0	15	39	32	0	1	17.5	0	1.5	main_noPush
72	4	0	6	24	32	0	0.25	17.5	0	39	main_noPush
72	4	0	35	24	32	0	1	17.5	0	24	main_noPush
72	4	0	66	24	32	0	0.25	17.5	0	24	main_noPush
72	4	0	52	84	32	0	0.25	17.5	0	24	main_noPush
72	4	0	52	51	32	0	0.25	17.5	0	84	main_noPush
72	4	0	14	51	32	0	0.25	17.5	0	51	main_noPush
72	4	0	32	0	32	0	1	17.5	0	51	main_noPush
72	4	0	36	36	32	0	1	17.5	0	0	main_noPush
