subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond	ip	saw	init_rt	rt
67	4	1	83	150	67	0	1	17.5	0	150	main_noPush	19	31	NaN	7.06947687698994
67	4	0	76	104.5	67	0	0.25	17.5	0	150	main_noPush	19	31	0.112551062949933	3.41726122202817
67	4	0	113	90.5	67	0	1	17.5	0	104.5	main_noPush	19	31	0.270519115030766	1.98958234896418
67	4	0	108	97.5	67	0	1	17.5	0	90.5	main_noPush	19	31	1.45409437199123	3.33900497597642
67	4	0	171	97.5	174	1	0.25	17.5	0	97.5	main_noPush	19	31	NaN	1.07923763094004
67	4	0	182	141.5	174	0	1	17.5	0	97.5	main_noPush	19	31	0.00329369108658284	3.57748299802188
67	4	0	192	167.5	174	0	0.25	17.5	0	141.5	main_noPush	19	31	0.528751156991348	1.90138524596114
67	4	0	197	184	174	0	1	17.5	0	167.5	main_noPush	19	31	0.335176321095787	2.06928370101377
67	4	0	189	191.5	174	0	0.25	17.5	0	184	main_noPush	19	31	0.709835793939419	1.76068423991092
67	4	0	22	191.5	7	1	0.25	17.5	0	191.5	main_noPush	19	31	NaN	0.606342519982718
67	4	0	23	29.5	7	0	1	17.5	0	191.5	main_noPush	19	31	0.560496738064103	4.86210453906097
67	4	0	18	26	7	0	1	17.5	0	29.5	main_noPush	19	31	1.98126794002019	3.27088030101731
67	4	0	24	26	7	0	0.25	17.5	0	26	main_noPush	19	31	NaN	1.68628937902395
67	4	0	3	26	7	0	0.25	17.5	0	26	main_noPush	19	31	NaN	0.601903780014254
67	4	0	15	15.5	7	0	1	17.5	0	26	main_noPush	19	31	1.26734856201801	2.47403177595697
67	4	0	20	15.5	7	0	1	17.5	1	15.5	main_noPush	19	31	NaN	1.0791997059714
67	4	0	16	15.5	7	0	1	17.5	0	15.5	main_noPush	19	31	NaN	0.64631553797517
67	4	0	12	15.5	7	0	1	17.5	0	15.5	main_noPush	19	31	NaN	0.552748810965568
67	4	0	19	15.5	7	0	0.25	17.5	0	15.5	main_noPush	19	31	NaN	0.440407237969339
67	4	0	45	18	7	0	1	17.5	0	15.5	main_noPush	19	31	1.39653413195629	2.01128305692691
67	4	0	10	33.5	7	0	0.25	17.5	0	18	main_noPush	19	31	1.2771485359408	3.16587241890375
67	4	0	159	25.5	137	1	0.25	17.5	0	33.5	main_noPush	19	31	0.35875253402628	1.53002297901548
67	4	0	138	142.5	137	0	0.25	17.5	0	25.5	main_noPush	19	31	0.18451905506663	2.91701134305913
67	4	0	110	142.5	137	0	0.25	17.5	0	142.5	main_noPush	19	31	NaN	1.16360936593264
67	4	0	130	124.5	137	0	0.25	17.5	0	142.5	main_noPush	19	31	1.16017195407767	3.18964971008245
67	4	0	139	124.5	137	0	0.25	17.5	0	124.5	main_noPush	19	31	NaN	2.69280618196353
67	4	0	117	131.5	137	0	1	17.5	0	124.5	main_noPush	19	31	0.693366592982784	1.70365959103219
67	4	0	121	131.5	137	0	1	17.5	0	131.5	main_noPush	19	31	NaN	1.73850046796724
67	4	0	153	131.5	137	0	0.25	17.5	0	131.5	main_noPush	19	31	NaN	1.74457541806623
67	4	0	299	141.5	289	1	1	17.5	0	131.5	main_noPush	19	31	1.01299205701798	2.36799771501683
67	4	0	272	276.5	289	0	0.25	17.5	1	141.5	main_noPush	19	31	0.313981801038608	3.04494111705571
67	4	0	294	276.5	289	0	1	17.5	0	276.5	main_noPush	19	31	NaN	0.619503563968465
67	4	0	282	290	289	0	0.25	17.5	0	276.5	main_noPush	19	31	1.38919726898894	2.16937250294723
67	4	0	275	287	289	0	1	17.5	0	290	main_noPush	19	31	0.909117189003155	2.07999175798614
67	4	0	116	287	108	1	0.25	17.5	0	287	main_noPush	19	31	NaN	0.930769640021026
67	4	0	102	126.5	108	0	1	17.5	0	287	main_noPush	19	31	0.353307551937178	4.02713216294069
67	4	0	90	113.5	108	0	0.25	17.5	1	126.5	main_noPush	19	31	0.781054153922014	2.65260099992156
67	4	0	124	103.5	108	0	0.25	17.5	1	113.5	main_noPush	19	31	0.757997685112059	2.27835195907392
67	4	0	137	116.5	108	0	1	17.5	0	103.5	main_noPush	19	31	0.879685183987021	2.45358346798457
67	4	0	108	128.5	108	0	1	17.5	0	116.5	main_noPush	19	31	0.533973391982727	2.31870208703913
67	4	0	88	121.5	108	0	1	17.5	0	128.5	main_noPush	19	31	0.442974346922711	1.59695416898467
67	4	0	76	100	108	0	1	17.5	0	121.5	main_noPush	19	31	0.376528071938083	2.33884426893201
67	4	0	96	86	108	0	0.25	17.5	0	100	main_noPush	19	31	0.287567759980448	1.53830721892882
67	4	0	131	91.5	108	0	0.25	17.5	0	86	main_noPush	19	31	1.63749656209257	2.3609176609898
67	4	0	92	123	108	0	1	17.5	0	91.5	main_noPush	19	31	0.293795884004794	2.13296398404054
67	4	0	104	107.5	108	0	0.25	17.5	0	123	main_noPush	19	31	0.39771174301859	2.89734372904059
67	4	0	120	107.5	108	0	0.25	17.5	0	107.5	main_noPush	19	31	NaN	1.32579664408695
67	4	0	118	113.5	108	0	0.25	17.5	0	107.5	main_noPush	19	31	1.39726011198945	2.95448818500154
67	4	0	127	116	108	0	0.25	17.5	0	113.5	main_noPush	19	31	1.72678474290296	2.37327465589624
67	4	0	108	122	108	0	0.25	17.5	0	116	main_noPush	19	31	1.44116836495232	2.60711958201136
67	4	0	108	122	108	0	0.25	17.5	0	122	main_noPush	19	31	NaN	1.06403845793102
67	4	0	99	114	108	0	1	17.5	0	122	main_noPush	19	31	0.987421241938137	2.67995277093723
67	4	0	141	107	108	0	1	17.5	0	114	main_noPush	19	31	0.89999782294035	2.30029240297154
67	4	0	180	123.5	188	1	1	17.5	0	107	main_noPush	19	31	0.442440288024954	2.04217833909206
67	4	0	192	156.5	188	0	0.25	17.5	0	123.5	main_noPush	19	31	0.224758979049511	1.6086397630861
67	4	0	207	175	188	0	1	17.5	0	156.5	main_noPush	19	31	0.794072522083297	2.97549852007069
67	4	0	22	196	1	1	0.25	17.5	0	175	main_noPush	19	31	0.555829765973613	2.43991360196378
67	4	0	1	26.5	1	0	1	17.5	0	196	main_noPush	19	31	0.208300260943361	5.4671948000323
67	4	0	18	15	1	0	1	17.5	0	26.5	main_noPush	19	31	1.13804623798933	2.76926114992239
67	4	0	10	15	1	0	1	17.5	0	15	main_noPush	19	31	NaN	0.906221239943989
67	4	0	19	15	1	0	1	17.5	1	15	main_noPush	19	31	NaN	0.979455836000852
67	4	0	13	15	1	0	1	17.5	0	15	main_noPush	19	31	NaN	0.918706227093935
67	4	0	40	15	9	1	0.25	17.5	0	15	main_noPush	19	31	NaN	0.542832446051762
67	4	0	26	31	9	0	1	17.5	0	15	main_noPush	19	31	1.0523105089087	3.04465759894811
67	4	0	30	31	9	0	0.25	17.5	0	31	main_noPush	19	31	NaN	0.836114794947207
67	4	0	39	31	9	0	1	17.5	0	31	main_noPush	19	31	NaN	1.07053724094294
67	4	0	15	31	9	0	0.25	17.5	0	31	main_noPush	19	31	NaN	0.881801113020629
67	4	0	19	31	9	0	0.25	17.5	0	31	main_noPush	19	31	NaN	0.810585441999137
67	4	0	12	31	9	0	1	17.5	0	31	main_noPush	19	31	NaN	1.26656213507522
67	4	0	16	25	9	0	0.25	17.5	0	31	main_noPush	19	31	0.789029398933053	4.15062543901149
67	4	0	30	19	9	0	1	17.5	0	25	main_noPush	19	31	1.68617391702719	3.15689039696008
67	4	0	9	24	9	0	1	17.5	0	19	main_noPush	19	31	0.708580948994495	1.91917374508921
67	4	0	16	24	9	0	0.25	17.5	0	24	main_noPush	19	31	NaN	1.7524710749276
67	4	0	6	24	9	0	0.25	17.5	0	24	main_noPush	19	31	1.82164732902311	3.91935545601882
67	4	0	19	16	9	0	0.25	17.5	0	24	main_noPush	19	31	0.221740229986608	1.32362780999392
67	4	0	19	16	9	0	0.25	17.5	0	16	main_noPush	19	31	NaN	1.41843428497668
67	4	0	260	16	263	1	1	17.5	0	16	main_noPush	19	31	NaN	0.940571982995607
67	4	0	252	251.5	263	0	1	17.5	0	16	main_noPush	19	31	0.264125933987089	4.99625080905389
67	4	0	276	251.5	263	0	1	17.5	0	251.5	main_noPush	19	31	NaN	1.4237774759531
67	4	0	292	265.5	263	0	0.25	17.5	0	251.5	main_noPush	19	31	1.12063970696181	3.08785306802019
67	4	0	269	266.5	263	0	1	17.5	1	265.5	main_noPush	19	31	0.638596975011751	1.32594251295086
67	4	0	234	267	263	0	1	17.5	0	266.5	main_noPush	19	31	1.1626404809067	1.89544105692767
67	4	0	262	248.5	263	0	0.25	17.5	0	267	main_noPush	19	31	0.556182056083344	1.81152514007408
67	4	0	248	248.5	263	0	1	17.5	0	248.5	main_noPush	19	31	NaN	1.81203447503503
67	4	0	250	248.5	263	0	0.25	17.5	1	248.5	main_noPush	19	31	NaN	1.14132023998536
67	4	0	241	248.5	263	0	1	17.5	0	248.5	main_noPush	19	31	NaN	0.872639801935293
67	4	0	263	248.5	263	0	1	17.5	0	248.5	main_noPush	19	31	NaN	2.44759553298354
67	4	0	258	251.5	263	0	1	17.5	0	248.5	main_noPush	19	31	0.00276884099002928	0.689046140993014
67	4	0	254	251.5	263	0	1	17.5	1	251.5	main_noPush	19	31	NaN	1.45689146604855
67	4	0	241	251.5	263	0	0.25	17.5	0	251.5	main_noPush	19	31	NaN	0.748451338033192
67	4	0	253	251.5	263	0	0.25	17.5	0	251.5	main_noPush	19	31	NaN	1.2647728320444
67	4	0	262	251.5	263	0	0.25	17.5	1	251.5	main_noPush	19	31	NaN	1.30522016703617
67	4	0	275	251.5	263	0	0.25	17.5	0	251.5	main_noPush	19	31	NaN	0.786008532973938
67	4	0	270	260.5	279	1	0.25	17.5	0	251.5	main_noPush	19	31	0.331098405993544	3.0514266359387
67	4	0	258	260.5	279	0	0.25	17.5	0	260.5	main_noPush	19	31	NaN	1.28517717705108
67	4	0	280	260.5	279	0	0.25	17.5	0	260.5	main_noPush	19	31	NaN	1.58715646504425
67	4	0	276	260.5	279	0	1	17.5	1	260.5	main_noPush	19	31	NaN	0.880338076967746
67	4	0	266	260.5	279	0	0.25	17.5	0	260.5	main_noPush	19	31	NaN	1.11004890094046
67	4	0	283	260.5	279	0	1	17.5	0	260.5	main_noPush	19	31	NaN	0.882801400963217
67	4	0	269	260.5	279	0	0.25	17.5	0	260.5	main_noPush	19	31	NaN	0.567506557097659
67	4	1	101	150	110	0	1	17.5	0	150	main_noPush	19	31	NaN	7.5942291590618
67	4	0	103	124.5	110	0	0.25	17.5	0	150	main_noPush	19	31	1.30364135000855	3.2478561620228
67	4	0	83	113.5	110	0	0.25	17.5	0	124.5	main_noPush	19	31	1.10400196106639	2.27635497204028
67	4	0	111	91.5	110	0	1	17.5	0	113.5	main_noPush	19	31	0.53726073296275	2.13550491293427
67	4	0	118	103	110	0	1	17.5	0	91.5	main_noPush	19	31	2.0299293580465	3.64908287907019
67	4	0	82	113.5	110	0	0.25	17.5	1	103	main_noPush	19	31	1.89088974299375	3.64005303499289
67	4	0	74	94.5	110	0	1	17.5	0	113.5	main_noPush	19	31	0.386254379991442	1.79595281498041
67	4	0	102	79	110	0	1	17.5	0	94.5	main_noPush	19	31	0.492999723996036	2.16332474094816
67	4	0	130	90.5	110	0	0.25	17.5	0	79	main_noPush	19	31	3.10159144795034	4.43239092698786
67	4	0	108	117.5	110	0	1	17.5	0	90.5	main_noPush	19	31	0.381253130035475	1.77374734694604
67	4	0	98	117.5	110	0	1	17.5	0	117.5	main_noPush	19	31	NaN	2.19435189198703
67	4	0	101	117.5	110	0	0.25	17.5	0	117.5	main_noPush	19	31	NaN	1.96464363706764
67	4	0	137	117.5	129	1	0.25	17.5	0	117.5	main_noPush	19	31	NaN	0.853963354020379
67	4	0	115	117.5	129	0	0.25	17.5	0	117.5	main_noPush	19	31	NaN	1.52924589603208
67	4	0	129	117.5	129	0	0.25	17.5	0	117.5	main_noPush	19	31	NaN	1.56508319906425
67	4	0	123	117.5	129	0	0.25	17.5	0	117.5	main_noPush	19	31	NaN	1.22513575502671
67	4	0	128	117.5	129	0	0.25	17.5	0	117.5	main_noPush	19	31	NaN	0.697778132976964
67	4	0	137	117.5	129	0	1	17.5	0	117.5	main_noPush	19	31	NaN	0.67273801099509
67	4	0	132	117.5	129	0	0.25	17.5	0	117.5	main_noPush	19	31	NaN	0.653706397046335
67	4	0	135	117.5	129	0	1	17.5	0	117.5	main_noPush	19	31	NaN	0.937381495954469
67	4	0	86	117.5	56	1	0.25	17.5	0	117.5	main_noPush	19	31	NaN	0.862660482060164
67	4	0	59	90.5	56	0	1	17.5	0	117.5	main_noPush	19	31	0.899333189008757	2.23308738297783
67	4	0	38	60.5	56	0	1	17.5	0	90.5	main_noPush	19	31	0.30164496100042	2.02882911404595
67	4	0	17	48.5	56	0	0.25	17.5	0	60.5	main_noPush	19	31	0.763050143956207	2.09337385301478
67	4	0	212	46	191	1	1	17.5	1	48.5	main_noPush	19	31	0.340747262001969	3.7828079550527
67	4	0	176	203.5	191	0	0.25	17.5	0	46	main_noPush	19	31	0.339575725025497	3.67661375296302
67	4	0	211	193	191	0	0.25	17.5	0	203.5	main_noPush	19	31	1.19892517908011	2.49685794208199
67	4	0	194	193	191	0	1	17.5	0	193	main_noPush	19	31	NaN	1.06920438900124
67	4	0	200	193	191	0	1	17.5	0	193	main_noPush	19	31	NaN	0.700202955049463
67	4	0	185	193	191	0	1	17.5	0	193	main_noPush	19	31	NaN	0.589501435984857
67	4	0	229	193	191	0	0.25	17.5	0	193	main_noPush	19	31	NaN	1.02008904097602
67	4	0	203	196	191	0	0.25	17.5	1	193	main_noPush	19	31	0.293378124013543	3.93069132708479
67	4	0	213	196	191	0	0.25	17.5	0	196	main_noPush	19	31	NaN	1.04826801898889
67	4	0	214	196	191	0	1	17.5	0	196	main_noPush	19	31	NaN	0.801130646024831
67	4	0	171	196	191	0	0.25	17.5	0	196	main_noPush	19	31	NaN	0.546470712986775
67	4	0	175	182.5	191	0	0.25	17.5	0	196	main_noPush	19	31	0.820616543991491	1.88749648199882
67	4	0	179	182.5	191	0	1	17.5	0	182.5	main_noPush	19	31	NaN	0.774416676023975
