subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	cond	ip	saw
83	4	1	51	150	55	0	0	25	0	main	24	31
83	4	0	44	73	55	0	0	25	0	main	24	31
83	4	0	95	73	55	0	0	25	0	main	24	31
83	4	0	63	73	55	0	0	25	0	main	24	31
83	4	0	60	73	55	0	1	25	0	main	24	31
83	4	0	46	73	67	1	0	25	0	main	24	31
83	4	0	53	73	67	0	0	25	0	main	24	31
83	4	0	120	73	67	0	0	25	1	main	24	31
83	4	0	82	90	67	0	0	25	0	main	24	31
83	4	0	68	90	67	0	1	25	0	main	24	31
83	4	0	117	90	67	0	1	25	0	main	24	31
83	4	0	66	90	67	0	1	25	0	main	24	31
83	4	0	137	90	160	1	0	25	0	main	24	31
83	4	0	159	110	160	0	0	25	1	main	24	31
83	4	0	124	138	160	0	0	25	0	main	24	31
83	4	0	168	138	160	0	0	25	0	main	24	31
83	4	0	155	138	160	0	0	25	0	main	24	31
83	4	0	179	138	160	0	0	25	1	main	24	31
83	4	0	179	161	160	0	0	25	0	main	24	31
83	4	0	165	161	160	0	0	25	0	main	24	31
83	4	0	188	161	160	0	1	25	0	main	24	31
83	4	0	107	161	160	0	1	25	0	main	24	31
83	4	0	177	134	160	0	1	25	0	main	24	31
83	4	0	131	141	160	0	1	25	0	main	24	31
83	4	0	182	141	160	0	1	25	0	main	24	31
83	4	0	165	148	160	0	1	25	0	main	24	31
83	4	0	209	148	154	1	1	25	0	main	24	31
83	4	0	192	173	154	0	0	25	1	main	24	31
83	4	0	170	173	154	0	0	25	0	main	24	31
83	4	0	110	173	154	0	0	25	0	main	24	31
83	4	0	180	149	154	0	0	25	1	main	24	31
83	4	0	127	149	165	1	1	25	0	main	24	31
83	4	0	157	149	165	0	0	25	0	main	24	31
83	4	0	175	149	165	0	0	25	0	main	24	31
83	4	0	161	149	165	0	0	25	0	main	24	31
83	4	0	186	149	165	0	1	25	0	main	24	31
83	4	0	159	149	165	0	1	25	0	main	24	31
83	4	0	183	149	165	0	1	25	0	main	24	31
83	4	0	160	160	165	0	0	25	0	main	24	31
83	4	0	189	160	210	1	1	25	0	main	24	31
83	4	0	148	160	210	0	0	25	0	main	24	31
83	4	0	202	160	210	0	0	25	0	main	24	31
83	4	0	236	169	210	0	0	25	0	main	24	31
83	4	0	200	206	210	0	1	25	0	main	24	31
83	4	0	184	206	210	0	0	25	0	main	24	31
83	4	0	206	196	210	0	1	25	0	main	24	31
83	4	0	184	196	210	0	0	25	0	main	24	31
83	4	0	242	196	210	0	1	25	0	main	24	31
83	4	0	212	218	210	0	0	25	0	main	24	31
83	4	0	236	218	210	0	0	25	0	main	24	31
83	4	0	201	218	210	0	1	25	0	main	24	31
83	4	0	179	218	210	0	1	25	0	main	24	31
83	4	0	292	194	239	1	1	25	1	main	24	31
83	4	0	189	211	239	0	1	25	0	main	24	31
83	4	0	279	211	239	0	0	25	0	main	24	31
83	4	0	270	244	239	0	1	25	0	main	24	31
83	4	0	233	244	239	0	1	25	0	main	24	31
83	4	0	245	244	239	0	1	25	0	main	24	31
83	4	0	223	244	239	0	1	25	0	main	24	31
83	4	0	212	244	239	0	0	25	0	main	24	31
