subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond	ip	saw	init_rt	rt
57	4	1	53	150	61	0	1	17.5	0	150	main_noPush	22	21	NaN	3.98095264402218
57	4	0	77	94.5	61	0	0.25	17.5	0	150	main_noPush	22	21	0.781736964010634	1.76963400898967
57	4	0	73	94.5	61	0	1	17.5	0	94.5	main_noPush	22	21	NaN	0.399473204044625
57	4	0	73	84	61	0	0.25	17.5	0	94.5	main_noPush	22	21	0.425751707982272	0.896348214009777
57	4	0	24	84	61	0	0.25	17.5	0	84	main_noPush	22	21	NaN	0.115741683053784
57	4	0	47	45	61	0	1	17.5	0	84	main_noPush	22	21	0.00293036596849561	1.59041304001585
57	4	0	49	45	61	0	1	17.5	0	45	main_noPush	22	21	NaN	0.444739703903906
57	4	0	79	45	61	0	0.25	17.5	0	45	main_noPush	22	21	NaN	0.417864207061939
57	4	0	37	64	61	0	0.25	17.5	0	45	main_noPush	22	21	0.401182838017121	3.85149474593345
57	4	0	50	56.5	61	0	1	17.5	0	64	main_noPush	22	21	0.0906152169918641	0.622834542999044
57	4	0	57	56.5	61	0	1	17.5	0	56.5	main_noPush	22	21	NaN	0.310841787024401
57	4	0	30	56.5	61	0	0.25	17.5	0	56.5	main_noPush	22	21	NaN	0.429387115989812
57	4	0	44	37	61	0	0.25	17.5	0	56.5	main_noPush	22	21	0.666745983995497	1.60026072605979
57	4	0	47	37	61	0	1	17.5	0	37	main_noPush	22	21	NaN	0.137973648961633
57	4	0	122	37	144	1	1	17.5	0	37	main_noPush	22	21	NaN	0.421339654014446
57	4	0	133	89.5	144	0	0.25	17.5	0	37	main_noPush	22	21	0.622937984066084	1.89567511400674
57	4	0	134	119.5	144	0	0.25	17.5	0	89.5	main_noPush	22	21	0.00248936004936695	1.28812053997535
57	4	0	164	119.5	144	0	0.25	17.5	0	119.5	main_noPush	22	21	NaN	0.135689835064113
57	4	0	171	152.5	144	0	1	17.5	0	119.5	main_noPush	22	21	0.00265961105469614	1.40376009000465
57	4	0	180	152.5	144	0	1	17.5	0	152.5	main_noPush	22	21	NaN	0.819133047014475
57	4	0	126	163	144	0	1	17.5	0	152.5	main_noPush	22	21	0.22792377602309	0.780766257084906
57	4	0	135	148.5	144	0	1	17.5	0	163	main_noPush	22	21	0.00262494792696089	2.24343973398209
57	4	0	154	148.5	144	0	0.25	17.5	0	148.5	main_noPush	22	21	NaN	0.469804753083736
57	4	0	162	148.5	144	0	1	17.5	0	148.5	main_noPush	22	21	NaN	0.42411775002256
57	4	0	153	148.5	144	0	0.25	17.5	0	148.5	main_noPush	22	21	NaN	0.333245380083099
57	4	0	109	148.5	144	0	0.25	17.5	0	148.5	main_noPush	22	21	NaN	0.575068696052767
57	4	0	164	130.5	144	0	0.25	17.5	0	148.5	main_noPush	22	21	0.136423625983298	0.844603226985782
57	4	0	145	142.5	144	0	0.25	17.5	0	130.5	main_noPush	22	21	0.445156579953618	0.933136721956544
57	4	0	133	142.5	144	0	1	17.5	0	142.5	main_noPush	22	21	NaN	0.309315716964193
57	4	0	148	142.5	144	0	0.25	17.5	0	142.5	main_noPush	22	21	NaN	0.0693789280485362
57	4	0	152	142.5	144	0	1	17.5	0	142.5	main_noPush	22	21	NaN	0.222293495084159
