subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	cond
23	1	1	71	139	82	0	1	10	0	main
23	1	0	78	75	82	0	0	10	0	main
23	1	0	81	86	82	0	1	10	0	main
23	1	0	90	65	82	0	1	10	0	main
23	1	0	86	80	82	0	1	10	0	main
23	1	0	157	92	173	1	0	10	0	main
23	1	0	194	144	173	0	1	10	0	main
23	1	0	177	184	173	0	1	10	0	main
23	1	0	164	177	173	0	0	10	0	main
23	1	0	179	163	173	0	1	10	0	main
23	1	0	90	174	87	1	1	10	1	main
23	1	0	75	84	87	0	0	10	1	main
23	1	0	84	97	87	0	1	10	0	main
23	1	0	86	84	87	0	0	10	0	main
23	1	0	114	75	87	0	1	10	0	main
23	1	0	87	106	87	0	1	10	0	main
23	1	0	10	92	9	1	1	10	0	main
23	1	0	35	3	9	0	0	10	0	main
23	1	0	10	27	9	0	0	10	0	main
23	1	0	8	43	9	0	1	10	0	main
23	1	0	1	14	9	0	1	10	0	main
23	1	0	28	25	9	0	0	10	0	main
23	1	0	40	35	9	0	1	10	0	main
23	1	0	7	44	9	0	0	10	0	main
23	1	0	28	13	17	1	0	10	1	main
23	1	0	29	25	17	0	0	10	0	main
23	1	0	29	39	17	0	1	10	0	main
23	1	0	177	24	187	1	0	10	0	main
23	1	0	156	196	187	0	1	10	0	main
23	1	0	183	169	187	0	0	10	0	main
23	1	0	174	169	187	0	0	10	0	main
23	1	0	242	171	237	1	0	10	0	main
23	1	0	245	236	237	0	0	10	0	main
23	1	0	248	248	237	0	1	10	0	main
23	1	0	231	238	237	0	1	10	0	main
23	1	0	241	227	237	0	0	10	0	main
23	1	0	216	244	237	0	1	10	0	main
23	1	0	245	219	237	0	1	10	0	main
23	1	0	232	236	237	0	1	10	0	main
23	1	0	76	221	75	1	0	10	0	main
23	1	0	86	73	75	0	0	10	0	main
23	1	0	80	82	75	0	1	10	0	main
23	1	0	73	89	75	0	1	10	0	main
23	1	0	71	72	75	0	1	10	0	main
23	1	0	81	82	75	0	1	10	0	main
23	1	0	70	68	75	0	1	10	0	main
23	1	0	83	94	75	0	0	10	0	main
23	1	0	68	69	75	0	0	10	1	main
23	1	0	79	90	75	0	0	10	0	main
23	1	0	73	60	75	0	0	10	0	main
23	1	0	72	80	75	0	1	10	0	main
23	1	0	84	64	75	0	1	10	0	main
23	1	0	84	72	75	0	0	10	1	main
23	1	0	57	81	75	0	0	10	0	main
23	1	0	52	69	75	0	1	10	0	main
23	1	0	73	51	75	0	1	10	0	main
23	1	0	94	70	75	0	1	10	0	main
23	1	0	59	88	75	0	1	10	0	main
23	1	0	79	73	75	0	1	10	0	main
23	1	0	67	73	89	1	0	10	1	main
23	1	0	83	74	89	0	0	10	0	main
23	1	0	97	68	89	0	0	10	1	main
23	1	0	83	100	89	0	1	10	1	main
23	1	0	96	90	89	0	0	10	0	main
23	1	0	91	74	89	0	0	10	0	main
23	1	0	97	102	89	0	1	10	0	main
23	1	0	98	94	89	0	0	10	1	main
23	1	0	91	83	89	0	1	10	0	main
23	1	0	81	82	89	0	0	10	0	main
23	1	0	80	91	89	0	1	10	0	main
23	1	0	99	80	89	0	1	10	0	main
23	1	0	100	97	89	0	0	10	1	main
23	1	0	102	90	89	0	1	10	0	main
23	1	0	83	103	89	0	1	10	0	main
23	1	0	88	97	89	0	0	10	0	main
23	1	0	90	86	89	0	0	10	1	main
23	1	0	92	95	89	0	0	10	0	main
23	1	0	83	74	89	0	0	10	0	main
23	1	0	97	102	89	0	0	10	0	main
23	1	0	95	68	89	0	1	10	0	main
23	1	0	99	95	89	0	0	10	0	main
23	1	0	107	114	89	0	1	10	0	main
23	1	0	80	83	89	0	0	10	0	main
23	1	0	70	113	89	0	1	10	0	main
23	1	0	71	78	89	0	0	10	0	main
23	1	0	94	89	89	0	0	10	1	main
23	1	0	91	78	89	0	1	10	0	main
23	1	0	110	95	89	0	0	10	0	main
