subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond	ip	saw	init_rt	rt
43	3	1	46	150	28	0	1	17.5	0	150	main_noPush	29	34	NaN	3.23451237900008
43	3	0	25	49.5	28	0	0.25	17.5	0	150	main_noPush	29	34	0.496737110006507	4.23225180900772
43	3	0	48	42.5	28	0	0.25	17.5	0	49.5	main_noPush	29	34	0.668004569000914	1.51747961500951
43	3	0	70	42.5	28	0	0.25	17.5	0	42.5	main_noPush	29	34	NaN	0.235718145006103
43	3	0	58	66.5	28	0	0.25	17.5	0	42.5	main_noPush	29	34	0.00338351901154965	1.24435129899939
43	3	0	6	66.5	28	0	0.25	17.5	0	66.5	main_noPush	29	34	NaN	0.298997966005118
43	3	0	37	24.5	28	0	1	17.5	0	66.5	main_noPush	29	34	0.765557074002572	2.0408158509963
43	3	0	33	27.5	28	0	1	17.5	0	24.5	main_noPush	29	34	0.476656970000477	1.08110146800755
43	3	0	27	27.5	28	0	0.25	17.5	0	27.5	main_noPush	29	34	NaN	0.66129208599159
43	3	0	13	27.5	28	0	0.25	17.5	0	27.5	main_noPush	29	34	NaN	0.592914778986597
43	3	0	65	27.5	28	0	0.25	17.5	0	27.5	main_noPush	29	34	NaN	0.462071098998422
43	3	0	24	45.5	28	0	0.25	17.5	0	27.5	main_noPush	29	34	0.137387206996209	1.61831896200601
43	3	0	18	40.5	28	0	0.25	17.5	0	45.5	main_noPush	29	34	0.455122876010137	1.55494030500995
43	3	0	12	33.5	28	0	1	17.5	0	40.5	main_noPush	29	34	0.203455604001647	1.40245082799811
43	3	0	37	26	28	0	0.25	17.5	0	33.5	main_noPush	29	34	0.26697225200769	1.00196663400857
43	3	0	32	26	28	0	1	17.5	0	26	main_noPush	29	34	NaN	0.928353055991465
43	3	0	38	26	28	0	1	17.5	0	26	main_noPush	29	34	NaN	0.464787347998936
43	3	0	39	33.5	28	0	0.25	17.5	0	26	main_noPush	29	34	1.56170066699269	2.22726415099169
43	3	0	27	33.5	28	0	1	17.5	0	33.5	main_noPush	29	34	NaN	0.498681622004369
43	3	0	31	33.5	28	0	0.25	17.5	1	33.5	main_noPush	29	34	NaN	1.33162204800465
43	3	0	12	33.5	28	0	0.25	17.5	1	33.5	main_noPush	29	34	NaN	0.569642325004679
43	3	0	48	33.5	28	0	1	17.5	0	33.5	main_noPush	29	34	NaN	1.16812211899378
43	3	0	22	33.5	28	0	0.25	17.5	0	33.5	main_noPush	29	34	NaN	0.464343461004319
43	3	0	2	33.5	28	0	0.25	17.5	0	33.5	main_noPush	29	34	NaN	0.543216146004852
43	3	0	-0	27.5	28	0	1	17.5	0	33.5	main_noPush	29	34	1.66589383500104	2.67535809001129
43	3	0	64	21.5	28	0	0.25	17.5	0	27.5	main_noPush	29	34	0.33467123999435	1.24492305600143
43	3	0	32	45.5	28	0	0.25	17.5	0	21.5	main_noPush	29	34	0.13555541599635	1.99626977900334
43	3	0	12	45.5	28	0	0.25	17.5	0	45.5	main_noPush	29	34	NaN	0.564774468992255
