subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	cond	ip	saw
100	4	1	53	150	71	0	1	25	0	main	26	16
100	4	0	97	94	71	0	0	25	0	main	26	16
100	4	0	12	94	71	0	0	25	0	main	26	16
100	4	0	84	33	71	0	0	25	0	main	26	16
100	4	0	76	68	71	0	0	25	0	main	26	16
100	4	0	92	68	71	0	1	25	0	main	26	16
100	4	0	29	73	71	0	1	25	0	main	26	16
100	4	0	72	43	71	0	0	25	0	main	26	16
100	4	0	86	50	71	0	0	25	0	main	26	16
100	4	0	34	64	71	0	0	25	0	main	26	16
100	4	0	95	56	71	0	1	25	0	main	26	16
100	4	0	28	67	71	0	1	25	0	main	26	16
100	4	0	79	67	71	0	0	25	0	main	26	16
100	4	0	50	67	71	0	1	25	0	main	26	16
100	4	0	90	67	71	0	1	25	0	main	26	16
100	4	0	82	71	71	0	0	25	0	main	26	16
100	4	0	79	71	71	0	0	25	0	main	26	16
100	4	0	221	71	228	1	0	25	0	main	26	16
100	4	0	217	178	228	0	0	25	0	main	26	16
100	4	0	225	204	228	0	1	25	0	main	26	16
100	4	0	226	230	228	0	1	25	1	main	26	16
100	4	0	219	230	228	0	0	25	0	main	26	16
100	4	0	241	229	228	0	0	25	0	main	26	16
100	4	0	251	229	228	0	1	25	0	main	26	16
100	4	0	268	230	228	0	0	25	0	main	26	16
100	4	0	269	252	228	0	0	25	0	main	26	16
100	4	0	261	252	228	0	1	25	1	main	26	16
100	4	0	213	245	228	0	1	25	0	main	26	16
100	4	0	228	233	228	0	0	25	0	main	26	16
100	4	0	270	233	228	0	0	25	0	main	26	16
100	4	0	260	254	228	0	1	25	0	main	26	16
100	4	0	222	254	228	0	0	25	0	main	26	16
100	4	0	234	240	228	0	0	25	0	main	26	16
100	4	0	249	240	228	0	1	25	0	main	26	16
100	4	0	233	240	228	0	0	25	0	main	26	16
100	4	0	238	240	228	0	1	25	0	main	26	16
100	4	0	234	240	228	0	0	25	0	main	26	16
100	4	0	167	240	228	0	0	25	0	main	26	16
100	4	0	216	166	228	0	1	25	0	main	26	16
100	4	0	228	204	228	0	0	25	0	main	26	16
100	4	0	221	218	228	0	1	25	0	main	26	16
100	4	0	177	218	228	0	1	25	0	main	26	16
100	4	0	181	188	228	0	0	25	0	main	26	16
100	4	0	253	188	228	0	1	25	0	main	26	16
100	4	0	212	244	228	0	0	25	0	main	26	16
100	4	0	196	235	228	0	0	25	0	main	26	16
100	4	0	239	218	228	0	1	25	0	main	26	16
100	4	0	244	229	228	0	1	25	0	main	26	16
100	4	0	269	229	228	0	1	25	0	main	26	16
100	4	0	225	254	228	0	1	25	0	main	26	16
100	4	0	228	242	228	0	0	25	1	main	26	16
100	4	0	199	242	228	0	1	25	0	main	26	16
100	4	0	238	223	228	0	1	25	0	main	26	16
100	4	0	208	225	228	0	1	25	0	main	26	16
100	4	0	280	225	228	0	1	25	0	main	26	16
100	4	0	200	265	228	0	0	25	0	main	26	16
100	4	0	146	231	63	1	0	25	0	main	26	16
