subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	z_t	cond	trial
21	3	1.0	72	144.0	72.0	1.0	0.0	15	150.0	stable_high	0
21	3	0.0	66	116.99999999999994	72.0	0.0	0.0	15	144.0	stable_high	1
21	3	0.0	63	86.99999999999989	72.0	0.0	0.0	15	116.99999999999994	stable_high	2
21	3	0.0	96	77.99999999999989	72.0	0.0	0.0	15	86.99999999999989	stable_high	3
21	3	0.0	72	83.99999999999989	72.0	0.0	0.15	15	77.99999999999989	stable_high	4
21	3	0.0	228	77.99999999999989	234.0	1.0	0.15	15	83.99999999999989	stable_high	5
21	3	0.0	225	137.99999999999997	234.0	0.0	0.15	15	77.99999999999989	stable_high	6
21	3	0.0	240	186.00000000000006	234.0	0.0	0.15	15	137.99999999999997	stable_high	7
21	3	0.0	240	204.00000000000009	234.0	0.0	0.15	15	186.00000000000006	stable_high	8
21	3	0.0	219	222.0000000000001	234.0	0.0	0.3	15	204.00000000000009	stable_high	9
21	3	0.0	222	222.0000000000001	234.0	0.0	0.45	15	222.0000000000001	stable_high	10
21	3	0.0	228	225.0000000000001	234.0	0.0	0.6	15	222.0000000000001	stable_high	11
21	3	0.0	213	228.0000000000001	234.0	0.0	0.6	15	225.0000000000001	stable_high	12
21	3	0.0	216	225.0000000000001	234.0	0.0	0.75	15	228.0000000000001	stable_high	13
21	3	0.0	246	222.0000000000001	234.0	0.0	0.75	15	225.0000000000001	stable_high	14
21	3	0.0	258	234.0000000000001	234.0	0.0	0.75	15	222.0000000000001	stable_high	15
21	3	0.0	249	246.00000000000006	234.0	0.0	0.9	15	234.0000000000001	stable_high	16
21	3	0.0	228	249.00000000000006	234.0	0.0	0.9	15	246.00000000000006	stable_high	17
21	3	0.0	243	237.0000000000001	234.0	0.0	1.05	15	249.00000000000006	stable_high	18
21	3	0.0	111	240.0000000000001	111.0	1.0	1.05	15	237.0000000000001	stable_high	19
21	3	0.0	123	137.99999999999997	111.0	0.0	1.2	15	240.0000000000001	stable_high	20
21	3	0.0	102	134.99999999999997	111.0	0.0	1.2	15	137.99999999999997	stable_high	21
21	3	0.0	108	122.99999999999994	111.0	0.0	1.35	15	134.99999999999997	stable_high	22
21	3	0.0	102	110.99999999999991	111.0	0.0	1.5	15	122.99999999999994	stable_high	23
21	3	0.0	108	101.99999999999989	111.0	0.0	1.65	15	110.99999999999991	stable_high	24
21	3	0.0	105	113.99999999999991	111.0	0.0	1.8	15	101.99999999999989	stable_high	25
21	3	0.0	249	104.99999999999989	219.0	1.0	1.8	15	113.99999999999991	stable_high	26
21	3	0.0	234	234.0000000000001	219.0	0.0	1.95	15	104.99999999999989	stable_high	27
21	3	0.0	204	237.0000000000001	219.0	0.0	1.95	15	234.0000000000001	stable_high	28
21	3	0.0	213	228.00000000000009	219.0	0.0	1.95	15	237.0000000000001	stable_high	29
