subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond	ip	saw	init_rt	rt
58	4	0	141	129.5	109	0	0.25	17.5	0	136	main_noPush	17	32	0.741509354033042	1.95136289304355
58	4	0	121	135.5	109	0	0.25	17.5	0	129.5	main_noPush	17	32	0.25653605099069	1.05077224498382
58	4	0	77	131.5	109	0	0.25	17.5	0	135.5	main_noPush	17	32	0.830355205980595	1.74281782098114
58	4	0	104	97	109	0	0.25	17.5	0	131.5	main_noPush	17	32	0.120471484027803	1.11690848600119
58	4	0	122	103	109	0	0.25	17.5	1	97	main_noPush	17	32	1.60710342804668	1.97976310702506
58	4	0	122	107.5	109	0	1	17.5	0	103	main_noPush	17	32	0.301708523998968	0.903200250992086
58	4	0	112	116.5	109	0	1	17.5	0	107.5	main_noPush	17	32	1.03945265599759	1.46324968402041
58	4	0	120	116.5	109	0	1	17.5	0	116.5	main_noPush	17	32	NaN	1.0858380710124
58	4	0	24	116.5	13	1	0.25	17.5	0	116.5	main_noPush	17	32	NaN	1.08741772797657
58	4	0	26	34	13	0	1	17.5	0	116.5	main_noPush	17	32	0.257229592010844	1.73858899605693
58	4	0	20	32	13	0	0.25	17.5	0	34	main_noPush	17	32	0.580684287007898	1.00057821802329
58	4	0	13	32	13	0	0.25	17.5	0	32	main_noPush	17	32	NaN	0.629037024045829
58	4	0	5	22.5	13	0	1	17.5	0	32	main_noPush	17	32	0.335454104992095	1.15119792998303
58	4	0	18	19	13	0	1	17.5	0	22.5	main_noPush	17	32	0.422815685975365	0.952251781011
58	4	0	39	19	13	0	1	17.5	0	19	main_noPush	17	32	NaN	0.674225577968173
58	4	0	12	30.5	13	0	0.25	17.5	0	19	main_noPush	17	32	0.744607437984087	1.72450945700984
58	4	0	18	15.5	13	0	0.25	17.5	1	30.5	main_noPush	17	32	2.11877159000142	2.9251280350145
58	4	0	37	15.5	13	0	1	17.5	0	15.5	main_noPush	17	32	NaN	1.25130817398895
58	4	0	9	24.5	13	0	0.25	17.5	0	15.5	main_noPush	17	32	0.370644726033788	0.975109242019244
58	4	0	32	24.5	13	0	1	17.5	0	24.5	main_noPush	17	32	NaN	0.561326298979111
