subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond	ip	saw	init_rt	rt
15	1	1	0	150	9	0	1	17.5	0	150	main_noPush	17	18	NaN	2.463780586957
15	1	0	25	46.5	9	0	0.25	17.5	0	150	main_noPush	17	18	3.51868152990937	6.10843248199672
15	1	0	28	34.5	9	0	1	17.5	0	46.5	main_noPush	17	18	0.532358061056584	0.954398023081012
15	1	0	42	34.5	9	0	1	17.5	0	34.5	main_noPush	17	18	NaN	0.464367722976021
15	1	0	15	34.5	9	0	0.25	17.5	0	34.5	main_noPush	17	18	NaN	0.0232573259854689
15	1	0	94	34.5	69	1	0.25	17.5	1	34.5	main_noPush	17	18	NaN	0.200608353014104
15	1	0	83	79	69	0	0.25	17.5	0	34.5	main_noPush	17	18	2.35412058397196	4.3791163819842
15	1	0	55	79	69	0	0.25	17.5	0	79	main_noPush	17	18	NaN	0.134395592962392
15	1	0	60	67	69	0	1	17.5	0	79	main_noPush	17	18	0.374564370955341	3.76596208894625
15	1	0	54	67	69	0	0.25	17.5	0	67	main_noPush	17	18	NaN	0.0238667560042813
15	1	0	43	67	69	0	1	17.5	1	67	main_noPush	17	18	NaN	1.55486013798509
15	1	0	55	67	69	0	1	17.5	0	67	main_noPush	17	18	NaN	0.864632540964521
15	1	0	30	67	19	1	0.25	17.5	0	67	main_noPush	17	18	NaN	0.0244699139147997
15	1	0	10	17.5	19	0	0.25	17.5	0	67	main_noPush	17	18	1.27157967409585	2.4597434400348
15	1	0	26	17.5	19	0	1	17.5	0	17.5	main_noPush	17	18	NaN	0.765719279996119
15	1	0	9	17.5	19	0	0.25	17.5	0	17.5	main_noPush	17	18	NaN	0.847102836007252
15	1	0	246	20.5	219	1	0.25	17.5	0	17.5	main_noPush	17	18	2.23639035306405	2.85449828102719
15	1	0	210	241	219	0	0.25	17.5	0	20.5	main_noPush	17	18	1.62353180604987	5.64794715202879
15	1	0	249	216	219	0	1	17.5	0	241	main_noPush	17	18	1.32059541007038	2.92889176507015
15	1	0	219	233	219	0	0.25	17.5	0	216	main_noPush	17	18	0.457356799975969	2.06174054497387
15	1	0	226	239	219	0	0.25	17.5	0	233	main_noPush	17	18	0.286294971010648	3.8795394890476
15	1	0	240	228.5	219	0	1	17.5	1	239	main_noPush	17	18	2.41324493894354	3.7109088699799
15	1	0	243	228.5	219	0	0.25	17.5	0	228.5	main_noPush	17	18	NaN	2.66191507608164
15	1	0	213	228.5	219	0	1	17.5	0	228.5	main_noPush	17	18	NaN	1.82072364899796
15	1	0	229	228.5	219	0	0.25	17.5	0	228.5	main_noPush	17	18	NaN	2.45081296493299
15	1	0	113	228.5	103	1	1	17.5	0	228.5	main_noPush	17	18	NaN	0.510632292018272
15	1	0	131	228.5	103	0	0.25	17.5	0	228.5	main_noPush	17	18	NaN	0.0232925839954987
15	1	0	119	137	103	0	0.25	17.5	0	228.5	main_noPush	17	18	0.00291363196447492	1.38352752302308
15	1	0	119	137	103	0	1	17.5	0	137	main_noPush	17	18	NaN	0.553204916999675
15	1	0	66	137	103	0	1	17.5	0	137	main_noPush	17	18	NaN	0.110820168047212
15	1	0	119	63.5	103	0	1	17.5	0	137	main_noPush	17	18	0.00279101904015988	1.10665112303104
15	1	0	138	102	103	0	1	17.5	1	63.5	main_noPush	17	18	3.54684342897963	9.9850815560203
15	1	0	103	135	103	0	1	17.5	0	102	main_noPush	17	18	2.21536147897132	2.86657709791325
15	1	0	110	106.5	103	0	1	17.5	0	135	main_noPush	17	18	1.10580030991696	2.83352633193135
15	1	0	85	106.5	103	0	0.25	17.5	0	106.5	main_noPush	17	18	NaN	0.950453803990968
15	1	0	93	106.5	103	0	1	17.5	0	106.5	main_noPush	17	18	NaN	0.861542499042116
15	1	0	106	106.5	103	0	0.25	17.5	0	106.5	main_noPush	17	18	NaN	0.024438877007924
15	1	0	235	106.5	254	1	1	17.5	0	106.5	main_noPush	17	18	NaN	1.93932269897778
15	1	0	230	258	254	0	0.25	17.5	1	106.5	main_noPush	17	18	0.426103558973409	3.35606611799449
15	1	0	231	258	254	0	1	17.5	0	258	main_noPush	17	18	NaN	2.33310547308065
15	1	0	235	247	254	0	1	17.5	0	258	main_noPush	17	18	0.00269184994976968	1.79995945596602
15	1	0	52	247	84	1	0.25	17.5	0	247	main_noPush	17	18	NaN	0.22536984202452
