subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond
85	4	1	139	150	143	0	1	17.5	0	150	main_noPush
85	4	0	142	150	143	0	1	17.5	0	150	main_noPush
85	4	0	149	150	143	0	1	17.5	0	150	main_noPush
85	4	0	143	150	143	0	1	17.5	0	150	main_noPush
85	4	0	148	150	143	0	0.25	17.5	0	150	main_noPush
85	4	0	124	150	143	0	0.25	17.5	0	150	main_noPush
85	4	0	113	136.5	143	0	1	17.5	0	150	main_noPush
85	4	0	123	130.5	143	0	0.25	17.5	0	136.5	main_noPush
85	4	0	91	126	112	1	1	17.5	0	130.5	main_noPush
85	4	0	130	100.5	112	0	1	17.5	0	126	main_noPush
85	4	0	99	114	112	0	1	17.5	0	100.5	main_noPush
85	4	0	141	114	112	0	0.25	17.5	0	114	main_noPush
85	4	0	109	130.5	112	0	0.25	17.5	0	114	main_noPush
85	4	0	102	130.5	112	0	0.25	17.5	0	130.5	main_noPush
85	4	0	111	117	112	0	1	17.5	0	130.5	main_noPush
85	4	0	1	117	28	1	1	17.5	0	117	main_noPush
85	4	0	25	33	28	0	0.25	17.5	0	117	main_noPush
85	4	0	37	33	28	0	0.25	17.5	0	33	main_noPush
85	4	0	3	33	28	0	0.25	17.5	0	33	main_noPush
85	4	0	266	12	231	1	1	17.5	0	33	main_noPush
85	4	0	242	261	231	0	1	17.5	0	12	main_noPush
85	4	0	227	252	231	0	1	17.5	0	261	main_noPush
85	4	0	230	246	231	0	0.25	17.5	0	252	main_noPush
85	4	0	215	241.5	231	0	1	17.5	0	246	main_noPush
85	4	0	219	226.5	231	0	1	17.5	0	241.5	main_noPush
85	4	0	230	226.5	231	0	0.25	17.5	0	226.5	main_noPush
85	4	0	223	226.5	231	0	0.25	17.5	1	226.5	main_noPush
85	4	0	218	226.5	231	0	0.25	17.5	0	226.5	main_noPush
85	4	0	225	226.5	231	0	0.25	17.5	0	226.5	main_noPush
85	4	0	239	226.5	231	0	1	17.5	0	226.5	main_noPush
85	4	0	245	226.5	231	0	1	17.5	0	226.5	main_noPush
85	4	0	262	243	231	0	0.25	17.5	0	226.5	main_noPush
85	4	0	189	243	231	0	0.25	17.5	0	243	main_noPush
85	4	0	215	214.5	231	0	1	17.5	0	243	main_noPush
85	4	0	216	214.5	231	0	1	17.5	0	214.5	main_noPush
85	4	0	201	214.5	231	0	1	17.5	0	214.5	main_noPush
85	4	0	203	210	231	0	1	17.5	0	214.5	main_noPush
85	4	0	229	210	231	0	0.25	17.5	0	210	main_noPush
85	4	0	222	210	231	0	0.25	17.5	0	210	main_noPush
85	4	0	266	219	231	0	0.25	17.5	0	210	main_noPush
