subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond
16	1	1	58	102	70	0	1	17.5	0	150	main_noPush
16	1	0	57	103	70	0	1	17.5	0	102	main_noPush
16	1	0	57	103	70	0	0.25	17.5	0	103	main_noPush
16	1	0	69	49	70	0	1	17.5	0	103	main_noPush
16	1	0	69	49	70	0	1	17.5	0	49	main_noPush
16	1	0	54	49	70	0	0.25	17.5	0	49	main_noPush
16	1	0	69	49	70	0	0.25	17.5	0	49	main_noPush
16	1	0	63	49	70	0	0.25	17.5	0	49	main_noPush
16	1	0	95	49	70	0	1	17.5	0	49	main_noPush
16	1	0	89	49	70	0	0.25	17.5	0	49	main_noPush
16	1	0	88	61	70	0	1	17.5	0	49	main_noPush
16	1	0	46	74.5	70	0	1	17.5	0	61	main_noPush
16	1	0	87	64	70	0	1	17.5	0	74.5	main_noPush
16	1	0	59	71	70	0	1	17.5	0	64	main_noPush
16	1	0	68	74.5	70	0	0.25	17.5	0	71	main_noPush
16	1	0	285	69	281	1	0.25	17.5	1	74.5	main_noPush
16	1	0	277	299	281	0	0.25	17.5	0	69	main_noPush
16	1	0	249	291.5	281	0	0.25	17.5	0	299	main_noPush
16	1	0	278	267.5	281	0	1	17.5	0	291.5	main_noPush
16	1	0	295	260	281	0	1	17.5	0	267.5	main_noPush
16	1	0	295	285.5	281	0	1	17.5	0	260	main_noPush
16	1	0	274	273.5	281	0	1	17.5	0	285.5	main_noPush
16	1	0	297	260	281	0	0.25	17.5	0	273.5	main_noPush
16	1	0	251	276.5	281	0	0.25	17.5	0	260	main_noPush
16	1	0	282	266	281	0	1	17.5	0	276.5	main_noPush
16	1	0	224	282.5	231	1	1	17.5	0	266	main_noPush
16	1	0	219	246.5	231	0	1	17.5	0	282.5	main_noPush
16	1	0	242	234.5	231	0	0.25	17.5	0	246.5	main_noPush
16	1	0	122	248	101	1	0.25	17.5	0	234.5	main_noPush
16	1	0	99	113	101	0	1	17.5	0	248	main_noPush
16	1	0	100	84.5	101	0	0.25	17.5	0	113	main_noPush
16	1	0	112	105.5	101	0	0.25	17.5	0	84.5	main_noPush
16	1	0	93	105.5	101	0	0.25	17.5	0	105.5	main_noPush
16	1	0	114	117.5	101	0	0.25	17.5	0	105.5	main_noPush
16	1	0	135	125	101	0	1	17.5	0	117.5	main_noPush
16	1	0	102	116	101	0	0.25	17.5	0	125	main_noPush
16	1	0	106	92	101	0	0.25	17.5	0	116	main_noPush
16	1	0	101	108.5	101	0	1	17.5	1	92	main_noPush
16	1	0	95	89	101	0	0.25	17.5	0	108.5	main_noPush
16	1	0	118	89	101	0	0.25	17.5	0	89	main_noPush
16	1	0	101	108.5	101	0	1	17.5	0	89	main_noPush
16	1	0	56	117.5	71	1	0.25	17.5	0	108.5	main_noPush
16	1	0	60	89	71	0	0.25	17.5	1	117.5	main_noPush
16	1	0	69	78.5	71	0	0.25	17.5	0	89	main_noPush
16	1	0	74	59	71	0	0.25	17.5	0	78.5	main_noPush
16	1	0	81	78.5	71	0	0.25	17.5	0	59	main_noPush
16	1	0	96	68	71	0	0.25	17.5	0	78.5	main_noPush
16	1	0	63	101	71	0	0.25	17.5	0	68	main_noPush
16	1	0	57	53	71	0	0.25	17.5	0	101	main_noPush
