subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	z_t	cond	trial
2	3	1.0	237	132.00000000000006	222.0	1.0	0.0	15	150.0	stable_high	0
2	3	0.0	204	224.99999999999977	222.0	0.0	0.0	15	132.00000000000006	stable_high	1
2	3	0.0	222	218.99999999999983	222.0	0.0	0.15	15	224.99999999999977	stable_high	2
2	3	0.0	237	206.99999999999983	222.0	0.0	0.15	15	218.99999999999983	stable_high	3
2	3	0.0	222	224.99999999999977	222.0	0.0	0.3	15	206.99999999999983	stable_high	4
2	3	0.0	180	236.99999999999983	222.0	0.0	0.3	15	224.99999999999977	stable_high	5
2	3	0.0	225	200.9999999999999	222.0	0.0	0.3	15	236.99999999999983	stable_high	6
2	3	0.0	234	215.9999999999999	222.0	0.0	0.3	15	200.9999999999999	stable_high	7
2	3	0.0	216	227.99999999999977	222.0	0.0	0.45	15	215.9999999999999	stable_high	8
2	3	0.0	222	218.99999999999983	222.0	0.0	0.6	15	227.99999999999977	stable_high	9
2	3	0.0	207	230.99999999999983	222.0	0.0	0.6	15	218.99999999999983	stable_high	10
2	3	0.0	228	212.9999999999999	222.0	0.0	0.6	15	230.99999999999983	stable_high	11
2	3	0.0	213	227.99999999999977	222.0	0.0	0.6	15	212.9999999999999	stable_high	12
2	3	0.0	210	224.99999999999977	222.0	0.0	0.6	15	227.99999999999977	stable_high	13
2	3	0.0	219	218.99999999999983	222.0	0.0	0.75	15	224.99999999999977	stable_high	14
2	3	0.0	216	218.99999999999983	222.0	0.0	0.9	15	218.99999999999983	stable_high	15
2	3	0.0	204	218.99999999999983	222.0	0.0	0.9	15	218.99999999999983	stable_high	16
2	3	0.0	249	212.9999999999999	222.0	0.0	0.9	15	218.99999999999983	stable_high	17
2	3	0.0	207	233.99999999999983	222.0	0.0	0.9	15	212.9999999999999	stable_high	18
2	3	0.0	210	212.9999999999999	222.0	0.0	1.05	15	233.99999999999983	stable_high	19
2	3	0.0	219	212.9999999999999	222.0	0.0	1.2	15	212.9999999999999	stable_high	20
2	3	0.0	231	215.9999999999999	222.0	0.0	1.2	15	212.9999999999999	stable_high	21
2	3	0.0	204	227.99999999999977	222.0	0.0	1.2	15	215.9999999999999	stable_high	22
2	3	0.0	231	212.9999999999999	222.0	0.0	1.2	15	227.99999999999977	stable_high	23
2	3	0.0	246	233.99999999999983	222.0	0.0	1.2	15	212.9999999999999	stable_high	24
2	3	0.0	213	242.99999999999983	222.0	0.0	1.2	15	233.99999999999983	stable_high	25
2	3	0.0	222	242.99999999999983	222.0	0.0	1.2	15	242.99999999999983	stable_high	26
2	3	0.0	204	233.99999999999983	222.0	0.0	1.2	15	242.99999999999983	stable_high	27
2	3	0.0	222	233.99999999999983	222.0	0.0	1.35	15	233.99999999999983	stable_high	28
2	3	0.0	258	224.99999999999977	222.0	0.0	1.35	15	233.99999999999983	stable_high	29
2	3	0.0	213	254.99999999999991	222.0	0.0	1.35	15	224.99999999999977	stable_high	30
