subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	cond	ip	saw
8	1	1	25	150	32	0	1	10	0	main	18	3
8	1	0	35	25	32	0	0	10	0	main	18	3
8	1	0	28	25	32	0	0	10	0	main	18	3
8	1	0	31	25	32	0	0	10	0	main	18	3
8	1	0	39	25	32	0	0	10	0	main	18	3
8	1	0	39	25	32	0	0	10	0	main	18	3
8	1	0	39	25	32	0	1	10	0	main	18	3
8	1	0	24	25	32	0	1	10	0	main	18	3
8	1	0	34	25	32	0	0	10	0	main	18	3
8	1	0	25	25	32	0	0	10	0	main	18	3
8	1	0	22	25	32	0	0	10	0	main	18	3
8	1	0	30	25	32	0	0	10	0	main	18	3
8	1	0	30	25	32	0	0	10	0	main	18	3
8	1	0	23	25	32	0	0	10	0	main	18	3
8	1	0	36	25	32	0	1	10	0	main	18	3
8	1	0	29	25	32	0	1	10	0	main	18	3
8	1	0	31	25	32	0	1	10	0	main	18	3
8	1	0	34	25	32	0	0	10	0	main	18	3
8	1	0	31	25	32	0	0	10	0	main	18	3
8	1	0	124	25	119	1	1	10	0	main	18	3
8	1	0	92	124	119	0	1	10	0	main	18	3
8	1	0	119	92	119	0	0	10	0	main	18	3
8	1	0	116	92	119	0	1	10	0	main	18	3
8	1	0	139	92	119	0	1	10	0	main	18	3
8	1	0	124	139	119	0	0	10	0	main	18	3
8	1	0	284	139	294	1	1	10	1	main	18	3
8	1	0	300	284	294	0	1	10	0	main	18	3
8	1	0	299	284	294	0	1	10	0	main	18	3
8	1	0	296	284	294	0	0	10	1	main	18	3
8	1	0	299	284	282	1	1	10	0	main	18	3
8	1	0	298	284	282	0	1	10	0	main	18	3
8	1	0	284	284	282	0	1	10	0	main	18	3
8	1	0	287	284	282	0	0	10	0	main	18	3
8	1	0	278	284	282	0	0	10	0	main	18	3
8	1	0	288	284	282	0	0	10	0	main	18	3
8	1	0	225	284	241	1	1	10	0	main	18	3
8	1	0	256	225	241	0	0	10	0	main	18	3
8	1	0	240	225	241	0	1	10	0	main	18	3
8	1	0	244	225	241	0	1	10	0	main	18	3
8	1	0	260	225	241	0	1	10	0	main	18	3
8	1	0	235	260	241	0	1	10	0	main	18	3
8	1	0	232	260	241	0	1	10	0	main	18	3
8	1	0	249	260	241	0	0	10	0	main	18	3
8	1	0	240	260	241	0	1	10	0	main	18	3
8	1	0	246	260	241	0	1	10	0	main	18	3
8	1	0	22	260	9	1	0	10	1	main	18	3
8	1	0	18	22	9	0	1	10	0	main	18	3
8	1	0	14	22	9	0	1	10	0	main	18	3
8	1	0	5	22	9	0	0	10	1	main	18	3
8	1	0	12	5	9	0	0	10	0	main	18	3
8	1	0	13	5	9	0	0	10	0	main	18	3
8	1	0	6	5	9	0	0	10	0	main	18	3
8	1	0	2	5	9	0	1	10	0	main	18	3
8	1	0	5	5	9	0	1	10	0	main	18	3
8	1	0	1	5	9	0	1	10	0	main	18	3
8	1	0	7	5	9	0	0	10	0	main	18	3
8	1	0	5	5	9	0	0	10	0	main	18	3
8	1	0	1	5	9	0	0	10	1	main	18	3
8	1	0	20	5	9	0	1	10	0	main	18	3
8	1	0	25	5	9	0	1	10	0	main	18	3
8	1	0	8	25	9	0	1	10	0	main	18	3
8	1	0	9	8	9	0	1	10	0	main	18	3
8	1	0	7	8	9	0	1	10	1	main	18	3
8	1	0	11	8	9	0	0	10	0	main	18	3
8	1	0	16	8	9	0	0	10	1	main	18	3
8	1	0	2	8	9	0	1	10	0	main	18	3
8	1	0	8	8	9	0	0	10	0	main	18	3
8	1	0	254	8	266	1	0	10	0	main	18	3
8	1	0	271	254	266	0	0	10	0	main	18	3
8	1	0	263	254	266	0	0	10	0	main	18	3
8	1	0	265	254	266	0	1	10	0	main	18	3
8	1	0	267	254	266	0	1	10	0	main	18	3
