subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond
9	1	1	278	150	265	0	1	17.5	0	150	main_noPush
9	1	0	218	213	265	0	0.25	17.5	0	150	main_noPush
9	1	0	262	214.5	265	0	1	17.5	0	213	main_noPush
9	1	0	268	244.5	265	0	1	17.5	0	214.5	main_noPush
9	1	0	287	225	265	0	1	17.5	0	244.5	main_noPush
9	1	0	261	261	265	0	0.25	17.5	0	225	main_noPush
9	1	0	264	217.5	265	0	1	17.5	0	261	main_noPush
9	1	0	239	249	265	0	1	17.5	0	217.5	main_noPush
9	1	0	268	238.5	265	0	0.25	17.5	0	249	main_noPush
9	1	0	46	250.5	95	1	1	17.5	0	238.5	main_noPush
9	1	0	121	124.5	95	0	0.25	17.5	1	250.5	main_noPush
9	1	0	82	145.5	95	0	0.25	17.5	0	124.5	main_noPush
9	1	0	105	115.5	95	0	0.25	17.5	0	145.5	main_noPush
9	1	0	53	112.5	95	0	0.25	17.5	0	115.5	main_noPush
9	1	0	110	84	95	0	0.25	17.5	0	112.5	main_noPush
9	1	0	99	108	95	0	1	17.5	0	84	main_noPush
9	1	0	90	96	95	0	1	17.5	0	108	main_noPush
9	1	0	42	85.5	95	0	0.25	17.5	0	96	main_noPush
9	1	0	91	58.5	95	0	1	17.5	0	85.5	main_noPush
9	1	0	86	75	95	0	1	17.5	0	58.5	main_noPush
9	1	0	77	87	95	0	1	17.5	0	75	main_noPush
9	1	0	104	99	95	0	1	17.5	0	87	main_noPush
9	1	0	107	109.5	95	0	1	17.5	0	99	main_noPush
9	1	0	92	120	95	0	1	17.5	0	109.5	main_noPush
9	1	0	87	112.5	95	0	1	17.5	0	120	main_noPush
9	1	0	97	103.5	95	0	0.25	17.5	0	112.5	main_noPush
9	1	0	91	93	95	0	0.25	17.5	0	103.5	main_noPush
9	1	0	98	85.5	95	0	0.25	17.5	0	93	main_noPush
9	1	0	226	96	230	1	1	17.5	0	85.5	main_noPush
9	1	0	228	156	230	0	1	17.5	0	96	main_noPush
9	1	0	228	196.5	230	0	0.25	17.5	0	156	main_noPush
9	1	0	198	229.5	230	0	1	17.5	1	196.5	main_noPush
9	1	0	239	216	230	0	1	17.5	0	229.5	main_noPush
9	1	0	124	226.5	144	1	1	17.5	0	216	main_noPush
9	1	0	128	169.5	144	0	1	17.5	0	226.5	main_noPush
9	1	0	134	142.5	144	0	0.25	17.5	0	169.5	main_noPush
9	1	0	140	132	144	0	0.25	17.5	0	142.5	main_noPush
9	1	0	102	135	144	0	1	17.5	0	132	main_noPush
9	1	0	126	109.5	145	1	1	17.5	0	135	main_noPush
9	1	0	122	127.5	145	0	0.25	17.5	1	109.5	main_noPush
9	1	0	126	118.5	145	0	0.25	17.5	0	127.5	main_noPush
9	1	0	165	109.5	145	0	1	17.5	0	118.5	main_noPush
9	1	0	132	133.5	145	0	1	17.5	0	109.5	main_noPush
9	1	0	147	138	145	0	0.25	17.5	0	133.5	main_noPush
9	1	0	156	147	145	0	0.25	17.5	0	138	main_noPush
9	1	0	137	141	145	0	0.25	17.5	0	147	main_noPush
9	1	0	128	132	159	1	0.25	17.5	0	141	main_noPush
9	1	0	160	129	159	0	1	17.5	1	132	main_noPush
9	1	0	160	148.5	159	0	0.25	17.5	0	129	main_noPush
9	1	0	175	159	159	0	0.25	17.5	0	148.5	main_noPush
9	1	0	153	172.5	159	0	0.25	17.5	0	159	main_noPush
9	1	0	143	166.5	159	0	0.25	17.5	0	172.5	main_noPush
9	1	0	145	160.5	159	0	0.25	17.5	0	166.5	main_noPush
9	1	0	136	150	134	1	0.25	17.5	1	160.5	main_noPush
9	1	0	117	142.5	134	0	1	17.5	0	150	main_noPush
9	1	0	136	129	134	0	1	17.5	0	142.5	main_noPush
9	1	0	138	130.5	134	0	1	17.5	0	129	main_noPush
9	1	0	144	138	134	0	0.25	17.5	0	130.5	main_noPush
9	1	0	153	145.5	134	0	1	17.5	0	138	main_noPush
9	1	0	141	145.5	134	0	0.25	17.5	0	145.5	main_noPush
9	1	0	146	148.5	134	0	0.25	17.5	0	145.5	main_noPush
9	1	0	259	142.5	255	1	0.25	17.5	0	148.5	main_noPush
9	1	0	264	201	255	0	1	17.5	0	142.5	main_noPush
9	1	0	269	231	255	0	1	17.5	1	201	main_noPush
