subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	z_t	cond	trial
20	3	1.0	237	209.9999999999999	222.0	1.0	0.0	15	150.0	stable_high	0
20	3	0.0	204	209.9999999999999	222.0	0.0	0.15	15	209.9999999999999	stable_high	1
20	3	0.0	222	218.99999999999983	222.0	0.0	0.3	15	209.9999999999999	stable_high	2
20	3	0.0	237	188.9999999999999	222.0	0.0	0.3	15	218.99999999999983	stable_high	3
20	3	0.0	222	221.99999999999983	222.0	0.0	0.45	15	188.9999999999999	stable_high	4
20	3	0.0	180	200.9999999999999	222.0	0.0	0.45	15	221.99999999999983	stable_high	5
20	3	0.0	225	203.9999999999999	222.0	0.0	0.45	15	200.9999999999999	stable_high	6
20	3	0.0	234	176.99999999999991	222.0	0.0	0.45	15	203.9999999999999	stable_high	7
20	3	0.0	216	215.9999999999999	222.0	0.0	0.6	15	176.99999999999991	stable_high	8
20	3	0.0	222	251.99999999999991	222.0	0.0	0.6	15	215.9999999999999	stable_high	9
20	3	0.0	207	239.99999999999983	222.0	0.0	0.6	15	251.99999999999991	stable_high	10
20	3	0.0	228	194.99999999999991	222.0	0.0	0.6	15	239.99999999999983	stable_high	11
20	3	0.0	213	221.99999999999983	222.0	0.0	0.75	15	194.99999999999991	stable_high	12
20	3	0.0	210	194.99999999999991	222.0	0.0	0.75	15	221.99999999999983	stable_high	13
20	3	0.0	219	230.99999999999983	222.0	0.0	0.9	15	194.99999999999991	stable_high	14
20	3	0.0	216	182.99999999999994	222.0	0.0	0.9	15	230.99999999999983	stable_high	15
20	3	0.0	204	215.9999999999999	222.0	0.0	1.05	15	182.99999999999994	stable_high	16
20	3	0.0	249	188.9999999999999	222.0	0.0	1.05	15	215.9999999999999	stable_high	17
20	3	0.0	207	218.99999999999983	222.0	0.0	1.2	15	188.9999999999999	stable_high	18
20	3	0.0	210	179.99999999999994	222.0	0.0	1.2	15	218.99999999999983	stable_high	19
20	3	0.0	219	179.99999999999994	222.0	0.0	1.2	15	179.99999999999994	stable_high	20
20	3	0.0	231	182.99999999999994	222.0	0.0	1.2	15	179.99999999999994	stable_high	21
20	3	0.0	204	209.9999999999999	222.0	0.0	1.35	15	182.99999999999994	stable_high	22
20	3	0.0	231	236.99999999999983	222.0	0.0	1.5	15	209.9999999999999	stable_high	23
20	3	0.0	246	254.99999999999991	222.0	0.0	1.65	15	236.99999999999983	stable_high	24
20	3	0.0	213	230.99999999999983	222.0	0.0	1.65	15	254.99999999999991	stable_high	25
20	3	0.0	222	227.99999999999977	222.0	0.0	1.8	15	230.99999999999983	stable_high	26
20	3	0.0	204	242.99999999999983	222.0	0.0	1.8	15	227.99999999999977	stable_high	27
20	3	0.0	222	206.99999999999983	222.0	0.0	1.8	15	242.99999999999983	stable_high	28
20	3	0.0	258	218.99999999999983	222.0	0.0	1.8	15	206.99999999999983	stable_high	29
