subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	cond	ip	saw
67	4	1	103	150	108	0	0	10	0	main	25	17
67	4	0	114	126	108	0	0	10	0	main	25	17
67	4	0	108	126	108	0	1	10	0	main	25	17
67	4	0	111	117	108	0	0	10	0	main	25	17
67	4	0	118	117	108	0	0	10	1	main	25	17
67	4	0	99	117	108	0	0	10	0	main	25	17
67	4	0	139	109	123	1	1	10	0	main	25	17
67	4	0	136	125	123	0	1	10	0	main	25	17
67	4	0	129	130	123	0	0	10	0	main	25	17
67	4	0	146	130	123	0	1	10	0	main	25	17
67	4	0	114	140	123	0	0	10	0	main	25	17
67	4	0	123	132	123	0	1	10	0	main	25	17
67	4	0	117	132	123	0	1	10	1	main	25	17
67	4	0	102	126	123	0	1	10	0	main	25	17
67	4	0	118	131	123	0	0	10	1	main	25	17
67	4	0	268	127	274	1	0	10	0	main	25	17
67	4	0	280	224	274	0	1	10	0	main	25	17
67	4	0	276	254	274	0	0	10	0	main	25	17
67	4	0	34	269	36	1	1	10	0	main	25	17
67	4	0	21	118	36	0	0	10	0	main	25	17
67	4	0	55	118	36	0	1	10	0	main	25	17
67	4	0	39	73	36	0	1	10	0	main	25	17
67	4	0	44	56	36	0	0	10	0	main	25	17
67	4	0	37	56	36	0	1	10	0	main	25	17
67	4	0	126	48	115	1	0	10	0	main	25	17
67	4	0	116	103	115	0	0	10	0	main	25	17
67	4	0	112	103	115	0	1	10	0	main	25	17
67	4	0	132	106	115	0	1	10	0	main	25	17
67	4	0	120	124	115	0	1	10	0	main	25	17
67	4	0	109	124	115	0	1	10	1	main	25	17
67	4	0	108	119	115	0	1	10	0	main	25	17
67	4	0	124	116	115	0	0	10	0	main	25	17
67	4	0	128	116	115	0	1	10	0	main	25	17
67	4	0	137	116	115	0	1	10	0	main	25	17
67	4	0	90	123	115	0	0	10	0	main	25	17
67	4	0	96	110	115	0	1	10	0	main	25	17
67	4	0	105	110	115	0	1	10	0	main	25	17
67	4	0	112	110	115	0	1	10	0	main	25	17
67	4	0	124	110	115	0	1	10	0	main	25	17
67	4	0	160	115	179	1	1	10	0	main	25	17
67	4	0	174	139	179	0	1	10	0	main	25	17
67	4	0	167	164	179	0	1	10	0	main	25	17
67	4	0	169	164	179	0	1	10	0	main	25	17
67	4	0	175	164	179	0	1	10	0	main	25	17
67	4	0	183	171	179	0	1	10	0	main	25	17
67	4	0	104	178	77	1	0	10	0	main	25	17
67	4	0	85	133	77	0	1	10	0	main	25	17
67	4	0	85	105	77	0	0	10	0	main	25	17
67	4	0	71	93	77	0	0	10	0	main	25	17
67	4	0	272	81	271	1	0	10	0	main	25	17
67	4	0	277	227	271	0	0	10	0	main	25	17
