subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	cond
51	3	1	7	150	13	0	0	25	0	main
51	3	0	27	11	13	0	1	25	1	main
51	3	0	85	12	13	0	0	25	0	main
51	3	0	14	12	13	0	0	25	0	main
51	3	0	20	12	13	0	0	25	0	main
51	3	0	38	12	13	0	1	25	0	main
51	3	0	8	12	13	0	1	25	0	main
51	3	0	25	12	13	0	0	25	0	main
51	3	0	238	12	222	1	0	25	0	main
51	3	0	233	237	222	0	0	25	0	main
51	3	0	230	237	222	0	1	25	0	main
51	3	0	231	236	222	0	0	25	0	main
51	3	0	204	235	222	0	0	25	0	main
51	3	0	201	232	222	0	1	25	0	main
51	3	0	225	221	222	0	1	25	0	main
51	3	0	112	221	56	1	0	25	0	main
51	3	0	3	112	56	0	1	25	0	main
51	3	0	47	48	56	0	1	25	0	main
51	3	0	250	48	295	1	0	25	0	main
51	3	0	285	250	295	0	0	25	0	main
51	3	0	260	252	295	0	0	25	0	main
51	3	0	262	253	295	0	0	25	0	main
51	3	0	300	255	295	0	1	25	0	main
51	3	0	255	259	295	0	1	25	0	main
51	3	0	269	258	295	0	1	25	0	main
51	3	0	108	258	150	1	0	25	0	main
51	3	0	110	108	150	0	1	25	0	main
51	3	0	191	108	150	0	1	25	0	main
51	3	0	141	157	150	0	0	25	0	main
51	3	0	113	152	127	1	0	25	0	main
51	3	0	152	138	127	0	1	25	0	main
51	3	0	121	139	127	0	1	25	0	main
51	3	0	18	138	43	1	1	25	0	main
51	3	0	43	45	43	0	1	25	1	main
51	3	0	102	45	43	0	1	25	0	main
51	3	0	19	45	32	1	0	25	0	main
51	3	0	29	45	32	0	1	25	0	main
51	3	0	87	45	32	0	1	25	0	main
51	3	0	28	46	32	0	0	25	0	main
51	3	0	18	45	32	0	0	25	0	main
51	3	0	2	44	32	0	1	25	0	main
51	3	0	27	43	32	0	1	25	0	main
51	3	0	16	42	32	0	0	25	0	main
51	3	0	29	42	32	0	1	25	0	main
51	3	0	33	41	32	0	1	25	0	main
51	3	0	25	34	32	0	1	25	1	main
51	3	0	32	34	32	0	0	25	0	main
51	3	0	18	34	1	1	1	25	0	main
51	3	0	42	33	1	0	0	25	0	main
51	3	0	7	35	1	0	1	25	0	main
51	3	0	39	4	1	0	0	25	1	main
51	3	0	11	10	1	0	1	25	0	main
51	3	0	29	10	1	0	1	25	0	main
51	3	0	41	8	1	0	0	25	1	main
51	3	0	4	6	1	0	0	25	0	main
51	3	0	44	6	1	0	0	25	0	main
51	3	0	185	6	198	1	1	25	0	main
51	3	0	233	185	198	0	0	25	0	main
51	3	0	206	191	198	0	1	25	0	main
51	3	0	197	195	198	0	0	25	1	main
51	3	0	215	196	198	0	1	25	0	main
51	3	0	201	197	198	0	1	25	0	main
51	3	0	240	196	260	1	1	25	0	main
51	3	0	279	197	260	0	0	25	0	main
51	3	0	235	239	260	0	1	25	0	main
51	3	0	220	238	260	0	0	25	0	main
51	3	0	225	254	260	0	1	25	1	main
51	3	0	213	253	260	0	1	25	0	main
51	3	0	230	241	260	0	0	25	0	main
51	3	0	265	253	260	0	0	25	1	main
51	3	0	252	257	260	0	0	25	0	main
51	3	0	255	257	260	0	0	25	0	main
51	3	0	261	257	260	0	1	25	0	main
51	3	0	270	257	260	0	1	25	1	main
51	3	0	128	257	131	1	1	25	0	main
51	3	0	118	128	131	0	0	25	0	main
51	3	0	112	127	131	0	0	25	0	main
51	3	0	114	126	131	0	0	25	0	main
51	3	0	138	125	131	0	1	25	0	main
51	3	0	157	126	131	0	0	25	0	main
51	3	0	128	127	131	0	1	25	0	main
51	3	0	102	127	131	0	1	25	0	main
51	3	0	89	120	131	0	0	25	0	main
51	3	0	122	115	131	0	0	25	0	main
51	3	0	159	116	149	1	0	25	0	main
51	3	0	191	119	149	0	1	25	0	main
51	3	0	138	165	149	0	1	25	0	main
51	3	0	154	155	149	0	1	25	0	main
51	3	0	114	155	149	0	0	25	0	main
51	3	0	179	149	149	0	0	25	0	main
51	3	0	141	150	149	0	0	25	0	main
51	3	0	141	149	149	0	0	25	0	main
51	3	0	192	148	149	0	0	25	0	main
51	3	0	148	149	149	0	0	25	1	main
51	3	0	172	149	149	0	0	25	0	main
51	3	0	125	150	149	0	1	25	0	main
51	3	0	172	147	149	0	0	25	0	main
51	3	0	165	147	149	0	0	25	0	main
51	3	0	149	148	149	0	1	25	0	main
51	3	0	120	148	149	0	0	25	1	main
51	3	0	120	148	149	0	0	25	0	main
51	3	0	100	148	70	1	0	25	0	main
51	3	0	44	71	70	0	0	25	1	main
51	3	0	64	71	70	0	1	25	0	main
51	3	0	88	70	76	1	0	25	0	main
51	3	0	94	71	76	0	0	25	0	main
51	3	0	112	72	76	0	0	25	0	main
51	3	0	92	72	76	0	1	25	0	main
51	3	0	72	73	76	0	0	25	0	main
51	3	0	53	73	76	0	0	25	0	main
51	3	0	65	65	76	0	1	25	0	main
51	3	0	56	64	76	0	0	25	0	main
51	3	0	45	64	76	0	1	25	0	main
51	3	0	51	62	76	0	0	25	0	main
51	3	0	107	58	76	0	0	25	0	main
51	3	0	45	87	76	0	0	25	0	main
51	3	0	147	77	76	0	0	25	0	main
51	3	0	57	127	76	0	0	25	0	main
51	3	0	102	114	76	0	1	25	0	main
51	3	0	44	111	76	0	1	25	0	main
51	3	0	109	85	83	1	0	25	0	main
