subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond
12	1	1	278	237	269	0	1	17.5	0	150	main_noPush
12	1	0	258	259.5	269	0	1	17.5	0	237	main_noPush
12	1	0	288	259.5	269	0	0.25	17.5	0	259.5	main_noPush
12	1	0	264	265.5	269	0	0.25	17.5	0	259.5	main_noPush
12	1	0	244	265.5	269	0	1	17.5	0	265.5	main_noPush
12	1	0	271	265.5	269	0	0.25	17.5	1	265.5	main_noPush
12	1	0	236	244.5	269	0	1	17.5	0	265.5	main_noPush
12	1	0	266	244.5	269	0	0.25	17.5	0	244.5	main_noPush
12	1	0	266	259.5	269	0	0.25	17.5	0	244.5	main_noPush
12	1	0	159	259.5	166	1	1	17.5	0	259.5	main_noPush
12	1	0	209	198	166	0	0.25	17.5	0	259.5	main_noPush
12	1	0	155	198	166	0	1	17.5	0	198	main_noPush
12	1	0	161	166.5	166	0	0.25	17.5	0	198	main_noPush
12	1	0	178	163	166	0	0.25	17.5	0	166.5	main_noPush
12	1	0	183	169.5	166	0	0.25	17.5	0	163	main_noPush
12	1	0	174	175.5	166	0	1	17.5	0	169.5	main_noPush
12	1	0	147	171	145	1	1	17.5	0	175.5	main_noPush
12	1	0	114	159	145	0	1	17.5	0	171	main_noPush
12	1	0	172	128.5	145	0	0.25	17.5	0	159	main_noPush
12	1	0	142	156	145	0	1	17.5	0	128.5	main_noPush
12	1	0	149	156	145	0	1	17.5	0	156	main_noPush
12	1	0	159	156	145	0	1	17.5	0	156	main_noPush
12	1	0	178	156	181	1	0.25	17.5	0	156	main_noPush
12	1	0	179	156	181	0	0.25	17.5	0	156	main_noPush
12	1	0	181	169.5	181	0	1	17.5	0	156	main_noPush
12	1	0	180	169.5	181	0	0.25	17.5	0	169.5	main_noPush
12	1	0	204	169.5	181	0	0.25	17.5	0	169.5	main_noPush
12	1	0	182	187.5	181	0	1	17.5	0	169.5	main_noPush
12	1	0	188	187.5	181	0	1	17.5	0	187.5	main_noPush
12	1	0	181	187.5	181	0	0.25	17.5	0	187.5	main_noPush
12	1	0	294	187.5	282	1	1	17.5	0	187.5	main_noPush
12	1	0	278	261	282	0	0.25	17.5	0	187.5	main_noPush
12	1	0	265	257.5	282	0	0.25	17.5	0	261	main_noPush
12	1	0	251	257.5	282	0	0.25	17.5	0	257.5	main_noPush
12	1	0	270	257.5	282	0	0.25	17.5	0	257.5	main_noPush
12	1	0	269	257.5	257	1	0.25	17.5	0	257.5	main_noPush
12	1	0	242	257.5	257	0	1	17.5	0	257.5	main_noPush
12	1	0	294	257.5	257	0	0.25	17.5	0	257.5	main_noPush
12	1	0	251	257.5	257	0	1	17.5	0	257.5	main_noPush
12	1	0	95	257.5	95	1	1	17.5	1	257.5	main_noPush
12	1	0	107	106.5	95	0	0.25	17.5	0	257.5	main_noPush
12	1	0	92	115.5	95	0	1	17.5	0	106.5	main_noPush
12	1	0	35	79.5	23	1	1	17.5	0	115.5	main_noPush
12	1	0	30	49.5	23	0	0.25	17.5	0	79.5	main_noPush
12	1	0	1	49.5	23	0	0.25	17.5	0	49.5	main_noPush
12	1	0	49	15	23	0	0.25	17.5	0	49.5	main_noPush
12	1	0	36	41	23	0	1	17.5	0	15	main_noPush
12	1	0	174	41	152	1	1	17.5	0	41	main_noPush
12	1	0	147	177.5	152	0	1	17.5	0	41	main_noPush
12	1	0	131	161	152	0	0.25	17.5	0	177.5	main_noPush
12	1	0	138	137	152	0	0.25	17.5	0	161	main_noPush
12	1	0	155	137	152	0	1	17.5	0	137	main_noPush
12	1	0	287	137	274	1	1	17.5	1	137	main_noPush
12	1	0	272	255.5	274	0	1	17.5	0	137	main_noPush
12	1	0	262	230	274	0	1	17.5	0	255.5	main_noPush
12	1	0	269	258.5	274	0	1	17.5	0	230	main_noPush
12	1	0	281	258.5	274	0	0.25	17.5	0	258.5	main_noPush
12	1	0	61	276.5	54	1	0.25	17.5	1	258.5	main_noPush
12	1	0	62	71	54	0	0.25	17.5	0	276.5	main_noPush
12	1	0	56	71	54	0	0.25	17.5	0	71	main_noPush
12	1	0	32	57.5	54	0	0.25	17.5	0	71	main_noPush
12	1	0	48	32	54	0	0.25	17.5	0	57.5	main_noPush
12	1	0	19	32	54	0	1	17.5	0	32	main_noPush
12	1	0	55	32	54	0	0.25	17.5	0	32	main_noPush
12	1	0	57	32	54	0	1	17.5	0	32	main_noPush
12	1	0	43	44	54	0	1	17.5	0	32	main_noPush
12	1	0	48	44	54	0	0.25	17.5	0	44	main_noPush
12	1	0	74	44	54	0	0.25	17.5	0	44	main_noPush
12	1	0	66	50	54	0	1	17.5	0	44	main_noPush
12	1	0	65	50	54	0	1	17.5	1	50	main_noPush
12	1	0	37	92	54	0	1	17.5	0	50	main_noPush
12	1	0	38	54.5	54	0	1	17.5	0	92	main_noPush
12	1	0	62	54.5	54	0	0.25	17.5	0	54.5	main_noPush
12	1	0	83	54.5	54	0	0.25	17.5	1	54.5	main_noPush
12	1	0	38	54.5	54	0	0.25	17.5	0	54.5	main_noPush
12	1	0	53	54.5	54	0	1	17.5	0	54.5	main_noPush
12	1	0	38	54.5	54	0	0.25	17.5	1	54.5	main_noPush
12	1	0	73	54.5	54	0	1	17.5	0	54.5	main_noPush
12	1	0	81	54.5	54	0	0.25	17.5	0	54.5	main_noPush
12	1	0	47	59	54	0	0.25	17.5	0	54.5	main_noPush
12	1	0	68	50	54	0	1	17.5	0	59	main_noPush
12	1	0	192	50	194	1	0.25	17.5	0	50	main_noPush
12	1	0	195	174.5	194	0	0.25	17.5	0	50	main_noPush
12	1	0	172	188	194	0	1	17.5	0	174.5	main_noPush
12	1	0	179	174.5	194	0	1	17.5	0	188	main_noPush
12	1	0	199	174.5	194	0	0.25	17.5	0	174.5	main_noPush
12	1	0	213	174.5	194	0	0.25	17.5	1	174.5	main_noPush
12	1	0	185	201.5	194	0	1	17.5	0	174.5	main_noPush
12	1	0	164	201.5	194	0	0.25	17.5	0	201.5	main_noPush
12	1	0	197	183.5	194	0	0.25	17.5	0	201.5	main_noPush
12	1	0	186	183.5	194	0	0.25	17.5	0	183.5	main_noPush
12	1	0	183	183.5	194	0	1	17.5	0	183.5	main_noPush
12	1	0	203	183.5	194	0	0.25	17.5	0	183.5	main_noPush
12	1	0	186	213.5	194	0	1	17.5	0	183.5	main_noPush
12	1	0	193	201.5	194	0	1	17.5	0	213.5	main_noPush
12	1	0	165	201.5	194	0	1	17.5	0	201.5	main_noPush
12	1	0	189	168.5	194	0	0.25	17.5	0	201.5	main_noPush
12	1	0	212	168.5	194	0	0.25	17.5	0	168.5	main_noPush
12	1	0	173	192.5	194	0	0.25	17.5	0	168.5	main_noPush
12	1	0	170	192.5	194	0	1	17.5	0	192.5	main_noPush
12	1	1	157	205.5	155	0	1	17.5	0	150	main_noPush
12	1	0	122	153	155	0	1	17.5	1	205.5	main_noPush
12	1	0	155	75	155	0	0.25	17.5	0	153	main_noPush
12	1	0	129	139	155	0	0.25	17.5	1	75	main_noPush
12	1	0	158	151	155	0	1	17.5	0	139	main_noPush
12	1	0	170	151	193	1	1	17.5	0	151	main_noPush
12	1	0	224	151	193	0	0.25	17.5	0	151	main_noPush
